"team","teamId","playedGames","goalDifference","points","rank"
"Leeds United FC",341,46,65,100,1
"Burnley FC",328,46,53,100,2
"Sheffield United FC",356,46,27,90,3
"Sunderland AFC",71,46,14,76,4
"Coventry City FC",1076,46,6,69,5
"Bristol City FC",387,46,4,68,6
"Blackburn Rovers FC",59,46,5,66,7
"Millwall FC",384,46,-2,66,8
"West Bromwich Albion FC",74,46,10,64,9
"Middlesbrough FC",343,46,8,64,10
"Swansea City AFC",72,46,-5,61,11
"Sheffield Wednesday FC",345,46,-9,58,12
"Norwich City FC",68,46,3,57,13
"Watford FC",346,46,-8,57,14
"Queens Park Rangers FC",69,46,-10,56,15
"Portsmouth FC",325,46,-13,54,16
"Oxford United FC",1082,46,-16,53,17
"Stoke City FC",70,46,-17,51,18
"Derby County FC",342,46,-8,50,19
"Preston North End FC",1081,46,-11,50,20
"Hull City AFC",322,46,-10,49,21
"Luton Town FC",389,46,-24,49,22
"Plymouth Argyle FC",1138,46,-37,46,23
"Cardiff City FC",715,46,-25,44,24
