"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Lee","Leeds United",46,65,100,1,1,46,2.17
"Bur","Burnley",46,53,100,2,2,46,2.17
"ShU","Sheffield Utd",46,27,90,3,3,46,1.96
"Sun","Sunderland",46,14,76,4,4,46,1.65
"Cov","Coventry City",46,6,69,5,5,46,1.5
"Bri","Bristol City",46,4,68,6,6,46,1.48
"Bbn","Blackburn Rovers",46,5,66,7,7,46,1.43
"Mil","Millwall",46,-2,66,8,8,46,1.43
"WBA","West Brom",46,10,64,9,9,46,1.39
"Mid","Middlesbrough",46,8,64,10,10,46,1.39
"Swa","Swansea City",46,-5,61,11,11,46,1.33
"ShW","Sheffield Wed",46,-9,58,12,12,46,1.26
"Nor","Norwich City",46,3,57,13,13,46,1.24
"Wat","Watford",46,-8,57,14,14,46,1.24
"QPR","QPR",46,-10,56,15,15,46,1.22
"Por","Portsmouth",46,-13,54,16,16,46,1.17
"Oxf","Oxford United",46,-16,53,17,17,46,1.15
"Sto","Stoke City",46,-17,51,18,18,46,1.11
"Der","Derby County",46,-8,50,19,19,46,1.09
"PNE","Preston NE",46,-11,50,20,20,46,1.09
"Hul","Hull City",46,-10,49,21,21,46,1.07
"Lut","Luton Town",46,-24,49,22,22,46,1.07
"Ply","Plymouth Argyle",46,-37,46,23,23,46,1
"Car","Cardiff City",46,-25,44,24,24,46,0.96
