"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"PSG","PSG",38,49,85,1,1,38,2.24
"Len","Lens",38,39,84,2,2,38,2.21
"Mar","Marseille",38,27,73,3,3,38,1.92
"Ren","Rennes",38,30,68,4,4,38,1.79
"Lil","Lille",38,21,67,5,5,38,1.76
"Mco","Monaco",38,12,65,6,6,38,1.71
"Lyo","Lyon",38,18,62,7,7,38,1.63
"Cle","Clermont Foot",38,-4,59,8,8,38,1.55
"Nic","Nice",38,11,58,9,9,38,1.53
"Lor","Lorient",38,-1,55,10,10,38,1.45
"Rei","Reims",38,0,51,11,11,38,1.34
"Mtp","Montpellier",38,3,50,12,12,38,1.32
"Tou","Toulouse",38,-6,48,13,13,38,1.26
"Bre","Brest",38,-10,44,14,14,38,1.16
"Str","Strasbourg",38,-8,40,15,15,38,1.05
"Nan","Nantes",38,-18,36,16,16,38,0.95
"Aux","Auxerre",38,-28,35,17,17,38,0.92
"Aja","AC Ajaccio",38,-51,26,18,18,38,0.68
"Tro","Troyes",38,-36,24,19,19,38,0.63
"Ang","Angers",38,-48,18,20,20,38,0.47
