"team","teamId","playedGames","goalDifference","points","rank"
"Paris Saint-Germain FC",524,38,49,85,1
"Racing Club de Lens",546,38,39,84,2
"Olympique de Marseille",516,38,27,73,3
"Stade Rennais FC 1901",529,38,30,68,4
"Lille OSC",521,38,21,67,5
"AS Monaco FC",548,38,12,65,6
"Olympique Lyonnais",523,38,18,62,7
"Clermont Foot 63",541,38,-4,59,8
"OGC Nice",522,38,11,58,9
"FC Lorient",525,38,-1,55,10
"Stade de Reims",547,38,0,51,11
"Montpellier HSC",518,38,3,50,12
"Toulouse FC",511,38,-6,48,13
"Stade Brestois 29",512,38,-10,44,14
"RC Strasbourg Alsace",576,38,-8,40,15
"FC Nantes",543,38,-18,36,16
"AJ Auxerre",519,38,-28,35,17
"AC Ajaccio",510,38,-51,26,18
"ES Troyes AC",531,38,-36,24,19
"Angers SCO",532,38,-48,18,20
