"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Atl","Atlético Madrid",38,42,86,1,1,38,2.26
"RMa","Real Madrid",38,39,84,2,2,38,2.21
"Bar","Barcelona",38,47,79,3,3,38,2.08
"Sev","Sevilla",38,20,77,4,4,38,2.03
"RSo","Real Sociedad",38,21,62,5,5,38,1.63
"Bet","Real Betis",38,0,61,6,6,38,1.61
"Vil","Villarreal",38,16,58,7,7,38,1.53
"Cel","Celta Vigo",38,-2,53,8,8,38,1.39
"Gra","Granada",38,-18,46,9,9,38,1.21
"Bil","Athletic Bilbao",38,4,46,10,10,38,1.21
"Osa","Osasuna",38,-11,44,11,11,38,1.16
"Cad","Cádiz CF",38,-22,44,12,12,38,1.16
"Val","Valencia",38,-3,43,13,13,38,1.13
"Lev","Levante",38,-11,41,14,14,38,1.08
"Get","Getafe",38,-15,38,15,15,38,1
"Ala","Alavés",38,-21,38,16,16,38,1
"Elc","Elche",38,-21,36,17,17,38,0.95
"Hue","Huesca",38,-19,34,18,18,38,0.89
"RVd","Valladolid",38,-23,31,19,19,38,0.82
"Eib","Eibar",38,-23,30,20,20,38,0.79
