"team","teamId","playedGames","goalDifference","points","rank"
"Club Atlético de Madrid",78,38,42,86,1
"Real Madrid CF",86,38,39,84,2
"FC Barcelona",81,38,47,79,3
"Sevilla FC",559,37,19,74,4
"Real Sociedad de Fútbol",92,38,21,62,5
"Real Betis Balompié",90,38,0,61,6
"Villarreal CF",94,38,16,58,7
"RC Celta de Vigo",558,38,-2,53,8
"Granada CF",83,38,-18,46,9
"Athletic Club",77,38,4,46,10
"CA Osasuna",79,38,-11,44,11
"Cádiz CF",264,38,-22,44,12
"Valencia CF",95,38,-3,43,13
"Levante UD",88,38,-11,41,14
"Getafe CF",82,38,-15,38,15
"Deportivo Alavés",263,37,-20,38,16
"Elche CF",285,38,-21,36,17
"SD Huesca",299,38,-19,34,18
"Real Valladolid CF",250,38,-23,31,19
"SD Eibar",278,38,-23,30,20
