"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"MnC","Manchester City",38,51,86,1,1,38,2.26
"MnU","Manchester United",38,29,74,2,2,38,1.95
"Liv","Liverpool",38,26,69,3,3,38,1.82
"Che","Chelsea",38,22,67,4,4,38,1.76
"Lei","Leicester City",38,18,66,5,5,38,1.74
"WHU","West Ham United",38,15,65,6,6,38,1.71
"Tot","Tottenham Hotspur",38,23,62,7,7,38,1.63
"Ars","Arsenal",38,16,61,8,8,38,1.61
"Lee","Leeds United",38,8,59,9,9,38,1.55
"Eve","Everton",38,-1,59,10,10,38,1.55
"Ast","Aston Villa",38,9,55,11,11,38,1.45
"New","Newcastle United",38,-16,45,12,12,38,1.18
"Wol","Wolverhampton Wanderers",38,-16,45,13,13,38,1.18
"Pal","Crystal Palace",38,-25,44,14,14,38,1.16
"Sot","Southampton",38,-21,43,15,15,38,1.13
"BHA","Brighton & Hove Albion",38,-6,41,16,16,38,1.08
"Bur","Burnley",38,-22,39,17,17,38,1.03
"Ful","Fulham",38,-26,28,18,18,38,0.74
"WBA","West Brom",38,-41,26,19,19,38,0.68
"ShU","Sheffield United",38,-43,23,20,20,38,0.61
