"team","teamId","playedGames","goalDifference","points","rank"
"Manchester City FC",65,38,51,86,1
"Manchester United FC",66,38,29,74,2
"Liverpool FC",64,38,26,69,3
"Chelsea FC",61,38,22,67,4
"Leicester City FC",338,38,18,66,5
"West Ham United FC",563,38,15,65,6
"Tottenham Hotspur FC",73,38,23,62,7
"Arsenal FC",57,38,16,61,8
"Leeds United FC",341,38,8,59,9
"Everton FC",62,38,-1,59,10
"Aston Villa FC",58,38,9,55,11
"Newcastle United FC",67,38,-16,45,12
"Wolverhampton Wanderers",76,38,-16,45,13
"Crystal Palace FC",354,38,-25,44,14
"Southampton FC",340,38,-21,43,15
"Brighton & Hove Albion",397,38,-6,41,16
"Burnley FC",328,38,-22,39,17
"Fulham FC",63,38,-26,28,18
"West Bromwich Albion FC",74,38,-41,26,19
"Sheffield United FC",356,38,-43,23,20
