"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Nap","Napoli",38,49,90,1,1,38,2.37
"Laz","Lazio",38,30,74,2,2,38,1.95
"Int","Inter Milan",38,29,72,3,3,38,1.89
"Mil","AC Milan",38,21,70,4,4,38,1.84
"Ata","Atalanta",38,18,64,5,5,38,1.68
"Rom","Roma",38,12,63,6,6,38,1.66
"Juv","Juventus",38,23,62,7,7,38,1.63
"Fir","Fiorentina",38,10,56,8,8,38,1.47
"Bol","Bologna",38,4,54,9,9,38,1.42
"Tor","Torino",38,1,53,10,10,38,1.39
"Mon","Monza",38,-4,52,11,11,38,1.37
"Udi","Udinese",38,-1,46,12,12,38,1.21
"Sas","Sassuolo",38,-14,45,13,13,38,1.18
"Emp","Empoli",38,-12,43,14,14,38,1.13
"Sal","Salernitana",38,-14,42,15,15,38,1.11
"Lec","Lecce",38,-13,36,16,16,38,0.95
"Spe","Spezia",38,-31,31,17,17,38,0.82
"Ver","Verona",38,-28,31,18,18,38,0.82
"Cre","Cremonese",38,-33,27,19,19,38,0.71
"Sam","Sampdoria",38,-47,19,20,20,38,0.5
