"team","teamId","playedGames","goalDifference","points","rank"
"SSC Napoli",113,38,49,90,1
"SS Lazio",110,38,30,74,2
"FC Internazionale Milano",108,38,29,72,3
"AC Milan",98,38,21,70,4
"Atalanta BC",102,38,18,64,5
"AS Roma",100,38,12,63,6
"Juventus FC",109,38,23,62,7
"ACF Fiorentina",99,38,10,56,8
"Bologna FC 1909",103,38,4,54,9
"Torino FC",586,38,1,53,10
"AC Monza",5911,38,-4,52,11
"Udinese Calcio",115,38,-1,46,12
"US Sassuolo Calcio",471,38,-14,45,13
"Empoli FC",445,38,-12,43,14
"US Salernitana 1919",455,38,-14,42,15
"US Lecce",5890,38,-13,36,16
"Spezia Calcio",488,38,-31,31,17
"Hellas Verona FC",450,38,-28,31,18
"US Cremonese",457,38,-33,27,19
"UC Sampdoria",584,38,-47,19,20
