"team","teamId","playedGames","goalDifference","points","rank"
"Fulham FC",63,46,63,90,1
"AFC Bournemouth",1044,46,35,88,2
"Nottingham Forest FC",351,46,34,82,3
"Huddersfield Town AFC",394,46,17,82,4
"Sheffield United FC",356,46,18,75,5
"Luton Town FC",389,46,8,75,6
"Middlesbrough FC",343,46,9,70,7
"Blackburn Rovers FC",59,46,9,69,8
"Millwall FC",384,46,8,69,9
"West Bromwich Albion FC",74,46,7,67,10
"Queens Park Rangers FC",69,46,1,66,11
"Coventry City FC",1076,46,1,64,12
"Preston North End FC",1081,46,-4,64,13
"Stoke City FC",70,46,5,62,14
"Swansea City AFC",72,46,-10,61,15
"Blackpool FC",336,46,-4,60,16
"Bristol City FC",387,46,-15,55,17
"Cardiff City FC",715,46,-18,53,18
"Hull City AFC",322,46,-14,50,19
"Birmingham City FC",332,46,-25,47,20
"Reading FC",355,46,-33,41,21
"Peterborough United FC",1077,46,-44,37,22
"Derby County FC",342,46,-8,34,23
"Barnsley FC",357,46,-40,30,24
