fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
59,Blackburn Rovers FC,Blackburn Rovers,BbR,Blackburn Rovers,Blackburn,0
63,Fulham FC,Fulham,Ful,Fulham,Fulham,0
69,Queens Park Rangers FC,QPR,QPR,Queens Park Rangers,QPR,0
70,Stoke City FC,Stoke City,Sto,Stoke City,Stoke,0
72,Swansea City AFC,Swansea City,Swa,Swansea City,Swansea,0
74,West Bromwich Albion FC,West Brom,WBA,West Bromwich Albion,West Brom,0
322,Hull City AFC,Hull City,Hul,Hull City,Hull,0
332,Birmingham City FC,Birmingham City,Bir,Birmingham City,Birmingham,0
336,Blackpool FC,Blackpool,Bpl,Blackpool,Blackpool,0
342,Derby County FC,Derby County,Der,Derby County,Derby,21
343,Middlesbrough FC,Middlesbrough,Mid,Middlesbrough,Middlesbrough,0
351,Nottingham Forest FC,Nottingham Forest,Not,Nottingham Forest,Nottm Forest,0
355,Reading FC,Reading,Rea,Reading,Reading,6
356,Sheffield United FC,Sheffield Utd,ShU,Sheffield United,Sheff Utd,0
357,Barnsley FC,Barnsley,Bar,Barnsley,Barnsley,0
384,Millwall FC,Millwall,Mil,Millwall,Millwall,0
387,Bristol City FC,Bristol City,Bri,Bristol City,Bristol City,0
389,Luton Town FC,Luton Town,Lut,Luton Town,Luton,0
394,Huddersfield Town AFC,Huddersfield Town,Hud,Huddersfield Town,Huddersfield,0
715,Cardiff City FC,Cardiff City,Car,Cardiff City,Cardiff,0
1044,AFC Bournemouth,Bournemouth,Bou,Bournemouth,Bournemouth,0
1076,Coventry City FC,Coventry City,Cov,Coventry,Coventry,0
1077,Peterborough United FC,Peterborough,Pet,Peterborough United,Peterborough,0
1081,Preston North End FC,Preston NE,PNE,Preston North End,Preston,0
