"team","teamId","playedGames","goalDifference","points","rank"
"FC Internazionale Milano",108,36,54,85,1
"SSC Napoli",113,36,18,70,2
"Juventus FC",109,36,29,68,3
"AC Milan",98,36,18,67,4
"AS Roma",100,36,24,67,5
"Como 1907",7397,36,32,65,6
"Atalanta BC",102,36,16,58,7
"Bologna FC 1909",103,36,2,52,8
"SS Lazio",110,36,2,51,9
"Udinese Calcio",115,36,-1,50,10
"US Sassuolo Calcio",471,36,-2,49,11
"Torino FC",586,36,-18,44,12
"Parma Calcio 1913",112,36,-18,42,13
"Genoa CFC",107,36,-8,41,14
"ACF Fiorentina",99,36,-11,38,15
"Cagliari Calcio",104,36,-15,37,16
"US Lecce",5890,36,-24,32,17
"US Cremonese",457,36,-23,31,18
"Hellas Verona FC",450,36,-34,20,19
"AC Pisa 1909",487,36,-41,18,20
