,fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
1,98,AC Milan,Milan,Mil,NA,AC Milan,0
2,99,ACF Fiorentina,Fiorentina,Fir,NA,Fiorentina,0
3,100,AS Roma,Roma,Rom,NA,Roma,0
4,102,Atalanta BC,Atalanta,Ata,NA,Atalanta,0
5,103,Bologna FC 1909,Bologna,Bol,NA,Bologna,0
6,104,Cagliari Calcio,Cagliari,Cag,NA,Cagliari,0
7,107,Genoa CFC,Genoa,Gen,NA,Genoa,0
8,108,FC Internazionale Milano,Inter,Int,NA,Inter Milan,0
9,109,Juventus FC,Juventus,Juv,NA,Juventus,0
10,110,SS Lazio,Lazio,Laz,NA,Lazio,0
11,112,Parma Calcio 1913,Parma,Par,NA,Parma,0
12,113,SSC Napoli,Napoli,Nap,NA,Napoli,0
13,115,Udinese Calcio,Udinese,Udi,NA,Udinese,0
14,450,Hellas Verona FC,Verona,Ver,NA,Hellas Verona,0
15,457,US Cremonese,Cremonese,Cre,NA,Cremonese,0
16,471,US Sassuolo Calcio,Sassuolo,Sas,NA,Sassuolo,0
17,487,AC Pisa 1909,AC Pisa,Pis,NA,Pisa,0
18,586,Torino FC,Torino,Tor,NA,Torino,0
19,5890,US Lecce,Lecce,Lec,NA,Lecce,0
20,7397,Como 1907,Como 1907,Com,NA,Como,0
