"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Fir","yes",3,"2.88","-0.18","-0.18"
"2","A","Ben","yes",3,"2.62","-0.07","-0.25"
"3","A","Laz","yes",1,"1.66","0.32","0.07"
"4","H","Mil","yes",0,"1.39","0.43","0.50"
"5","A","Gen","yes",3,"2.48","-0.01","0.49"
"6","H","Par","yes",1,"2.90","-0.18","0.31"
"7","A","Ata","yes",1,"1.88","0.23","0.54"
"8","H","Tor","yes",3,"2.81","-0.15","0.39"
"9","A","Sas","yes",3,"2.35","0.04","0.44"
"10","H","Bol","yes",3,"2.87","-0.17","0.26"
"11","A","Cag","yes",3,"2.55","-0.04","0.22"
"12","H","Nap","yes",3,"2.56","-0.05","0.17"
"13","H","Spe","yes",3,"2.82","-0.15","0.02"
"14","A","Ver","yes",3,"2.31","0.06","0.08"
"15","H","Cro","yes",3,"2.98","-0.21","-0.14"
"16","A","Sam","yes",0,"2.22","0.09","-0.04"
"17","A","Rom","yes",1,"1.34","0.45","0.41"
"18","H","Juv","yes",3,"2.63","-0.07","0.34"
"19","A","Udi","yes",1,"2.40","0.02","0.36"
"20","H","Ben","yes",3,"2.75","-0.12","0.24"
"21","A","Fir","yes",3,"2.44","0.00","0.24"
"22","H","Laz","yes",3,"2.65","-0.08","0.16"
"23","A","Mil","yes",3,"2.24","0.09","0.24"
"24","H","Gen","yes",3,"2.84","-0.16","0.08"
"25","A","Par","yes",3,"2.68","-0.09","-0.01"
"26","H","Ata","yes",3,"2.37","0.03","0.02"
"27","A","Tor","yes",3,"2.70","-0.10","-0.08"
"28","A","Bol","yes",3,"2.13","0.13","0.05"
"29","H","Sas","yes",3,"2.66","-0.09","-0.04"
"30","H","Cag","yes",3,"2.89","-0.18","-0.22"
"31","A","Nap","no",NA,"1.44","0.41","0.19"
"32","A","Spe","no",NA,"2.53","-0.03","0.16"
"33","H","Ver","no",NA,"2.79","-0.14","0.02"
"34","A","Cro","no",NA,"2.58","-0.05","-0.03"
"35","H","Sam","no",NA,"2.82","-0.15","-0.18"
"36","H","Rom","no",NA,"2.74","-0.12","-0.30"
"37","A","Juv","no",NA,"1.35","0.45","0.15"
"38","H","Udi","no",NA,"2.81","-0.15","0.00"
