"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Cro","yes",3,"2.65","-1.66","-1.66"
"2","A","Nap","yes",0,"0.31","0.69","-0.97"
"3","A","Ver","yes",1,"0.88","0.11","-0.86"
"4","H","Int","yes",0,"0.35","0.65","-0.21"
"5","A","Sam","yes",1,"0.77","0.22","0.01"
"6","H","Tor","yes",0,"1.24","-0.25","-0.24"
"7","H","Rom","yes",0,"1.09","-0.09","-0.33"
"8","A","Udi","yes",0,"1.02","-0.02","-0.35"
"9","H","Par","yes",0,"1.84","-0.85","-1.20"
"10","A","Fir","yes",1,"1.09","-0.10","-1.30"
"11","H","Juv","yes",0,"0.74","0.26","-1.04"
"12","H","Mil","yes",1,"0.11","0.89","-0.15"
"13","A","Ben","yes",0,"1.47","-0.48","-0.63"
"14","A","Spe","yes",3,"1.24","-0.25","-0.88"
"15","H","Laz","yes",1,"0.71","0.28","-0.60"
"16","A","Sas","yes",0,"0.94","0.05","-0.54"
"17","H","Bol","yes",3,"1.61","-0.62","-1.16"
"18","A","Ata","yes",1,"0.45","0.55","-0.61"
"19","H","Cag","yes",3,"1.73","-0.74","-1.35"
"20","A","Cro","yes",3,"1.36","-0.37","-1.72"
"21","H","Nap","yes",3,"0.57","0.43","-1.30"
"22","A","Tor","yes",1,"1.47","-0.47","-1.77"
"23","H","Ver","yes",1,"1.13","-0.14","-1.91"
"24","A","Int","yes",0,"0.09","0.91","-1.00"
"25","H","Sam","yes",1,"1.28","-0.28","-1.29"
"26","A","Rom","yes",0,"0.27","0.73","-0.56"
"27","H","Udi","yes",1,"1.25","-0.26","-0.81"
"28","A","Par","yes",3,"1.62","-0.63","-1.44"
"29","H","Fir","yes",1,"1.70","-0.71","-2.15"
"30","A","Juv","yes",0,"0.27","0.73","-1.42"
"31","A","Mil","yes",0,"0.74","0.26","-1.17"
"32","H","Ben","no",NA,"1.03","-0.04","-1.21"
"33","H","Spe","no",NA,"1.37","-0.37","-1.58"
"34","A","Laz","no",NA,"0.36","0.64","-0.94"
"35","H","Sas","no",NA,"0.74","0.26","-0.69"
"36","A","Bol","no",NA,"0.63","0.37","-0.32"
"37","H","Ata","no",NA,"0.38","0.62","0.30"
"38","A","Cag","no",NA,"1.29","-0.30","-0.00"
