"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Sas","yes",1,"0.88","0.02","0.02"
"2","H","Laz","yes",0,"0.65","0.28","0.30"
"3","A","Ata","yes",0,"0.42","0.54","0.84"
"4","A","Tor","yes",3,"1.36","-0.51","0.33"
"5","H","Cro","yes",3,"2.22","-1.46","-1.13"
"6","A","Bol","yes",0,"0.63","0.30","-0.83"
"7","H","Sam","yes",3,"1.03","-0.15","-0.98"
"8","A","Juv","yes",0,"0.24","0.73","-0.25"
"9","H","Spe","yes",1,"1.32","-0.47","-0.73"
"10","A","Ver","yes",1,"0.83","0.07","-0.65"
"11","H","Int","yes",0,"0.35","0.61","-0.05"
"12","A","Par","yes",1,"1.71","-0.90","-0.94"
"13","H","Udi","yes",1,"1.10","-0.23","-1.17"
"14","A","Rom","yes",0,"0.27","0.70","-0.47"
"15","H","Nap","yes",0,"0.49","0.46","-0.01"
"16","H","Ben","yes",0,"0.94","-0.05","-0.06"
"17","A","Fir","yes",0,"1.02","-0.13","-0.19"
"18","H","Mil","yes",0,"0.09","0.90","0.71"
"19","A","Gen","yes",0,"0.97","-0.07","0.64"
"20","H","Sas","yes",1,"0.57","0.36","1.00"
"21","A","Laz","yes",0,"0.33","0.63","1.63"
"22","H","Ata","yes",0,"0.33","0.63","2.26"
"23","H","Tor","yes",0,"1.10","-0.22","2.04"
"24","A","Cro","yes",3,"1.39","-0.54","1.50"
"25","H","Bol","yes",3,"1.46","-0.62","0.88"
"26","A","Sam","yes",1,"0.71","0.21","1.09"
"27","H","Juv","yes",0,"0.63","0.30","1.39"
"28","A","Spe","yes",0,"1.09","-0.21","1.18"
"29","H","Ver","yes",0,"0.99","-0.11","1.07"
"30","A","Int","yes",0,"0.08","0.91","1.98"
"31","H","Par","yes",3,"1.72","-0.91","1.07"
"32","A","Udi","yes",3,"1.07","-0.19","0.88"
"33","H","Rom","no",NA,"1.05","-0.16","0.72"
"34","A","Nap","no",NA,"0.27","0.70","1.42"
"35","A","Ben","no",NA,"1.42","-0.57","0.84"
"36","H","Fir","no",NA,"1.35","-0.50","0.34"
"37","A","Mil","no",NA,"0.75","0.17","0.51"
"38","H","Gen","no",NA,"1.36","-0.51","0.00"
