"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Sam","yes",3,"2.45","-0.25","-0.25"
"2","A","Rom","yes",1,"0.76","0.61","0.36"
"3","A","Cro","yes",1,"2.23","-0.14","0.22"
"4","H","Ver","yes",1,"2.42","-0.24","-0.02"
"5","A","Spe","yes",3,"2.02","-0.03","-0.05"
"6","A","Laz","yes",1,"0.92","0.53","0.48"
"7","H","Cag","yes",3,"2.62","-0.34","0.14"
"8","A","Ben","yes",1,"2.26","-0.15","-0.01"
"9","H","Tor","yes",3,"2.48","-0.27","-0.27"
"10","A","Gen","yes",3,"1.99","-0.01","-0.29"
"11","H","Ata","yes",1,"1.58","0.20","-0.09"
"12","A","Par","yes",3,"2.34","-0.20","-0.29"
"13","H","Fir","yes",0,"2.60","-0.33","-0.62"
"14","H","Udi","yes",3,"2.49","-0.27","-0.89"
"15","A","Mil","yes",3,"1.64","0.16","-0.72"
"16","H","Sas","yes",3,"2.03","-0.04","-0.76"
"17","A","Int","yes",0,"0.25","0.87","0.11"
"18","H","Bol","yes",3,"2.64","-0.35","-0.24"
"19","A","Sam","yes",3,"1.60","0.18","-0.05"
"20","H","Rom","yes",3,"2.45","-0.25","-0.30"
"21","A","Nap","yes",0,"0.77","0.61","0.30"
"22","H","Cro","yes",3,"2.93","-0.50","-0.19"
"23","A","Ver","yes",1,"1.75","0.10","-0.09"
"24","H","Spe","yes",3,"2.55","-0.30","-0.39"
"25","H","Laz","yes",3,"2.13","-0.09","-0.48"
"26","A","Cag","yes",3,"2.13","-0.09","-0.57"
"27","H","Ben","yes",0,"2.39","-0.22","-0.79"
"28","A","Tor","yes",1,"2.24","-0.14","-0.93"
"29","H","Nap","yes",3,"1.91","0.03","-0.90"
"30","H","Gen","yes",3,"2.60","-0.33","-1.23"
"31","A","Ata","yes",0,"1.10","0.44","-0.79"
"32","H","Par","yes",3,"2.73","-0.39","-1.18"
"33","A","Fir","no",NA,"1.95","0.01","-1.18"
"34","A","Udi","no",NA,"2.00","-0.02","-1.20"
"35","H","Mil","no",NA,"0.58","0.70","-0.49"
"36","A","Sas","no",NA,"1.80","0.08","-0.41"
"37","H","Int","no",NA,"1.63","0.17","-0.25"
"38","A","Bol","no",NA,"1.48","0.25","-0.00"
