"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Tor","yes",3,"2.57","-0.27","-0.27"
"2","A","Laz","yes",3,"1.50","0.26","-0.01"
"3","H","Cag","yes",3,"2.38","-0.17","-0.18"
"4","A","Nap","yes",0,"1.32","0.35","0.16"
"5","H","Sam","yes",0,"2.18","-0.08","0.09"
"6","A","Cro","yes",3,"2.58","-0.27","-0.19"
"7","H","Int","yes",1,"1.15","0.43","0.25"
"8","A","Spe","yes",1,"2.44","-0.20","0.04"
"9","H","Ver","yes",0,"2.08","-0.03","0.02"
"10","H","Fir","yes",3,"2.35","-0.16","-0.14"
"11","A","Juv","yes",1,"1.23","0.39","0.25"
"12","H","Rom","yes",3,"2.13","-0.05","0.20"
"13","A","Bol","yes",1,"2.05","-0.01","0.19"
"14","H","Sas","yes",3,"1.58","0.22","0.41"
"15","H","Par","yes",3,"2.55","-0.26","0.15"
"16","A","Ben","yes",3,"2.60","-0.28","-0.13"
"17","H","Gen","yes",1,"2.36","-0.16","-0.29"
"18","A","Udi","yes",1,"2.42","-0.19","-0.48"
"19","A","Mil","yes",3,"2.18","-0.07","-0.56"
"20","H","Laz","yes",0,"1.70","0.16","-0.40"
"21","H","Tor","yes",1,"2.17","-0.07","-0.47"
"22","A","Cag","yes",3,"2.51","-0.24","-0.70"
"23","H","Nap","yes",3,"1.43","0.29","-0.41"
"24","A","Sam","yes",3,"2.13","-0.05","-0.46"
"25","H","Cro","yes",3,"2.76","-0.36","-0.82"
"26","A","Int","yes",0,"0.50","0.75","-0.07"
"27","H","Spe","yes",3,"2.33","-0.15","-0.22"
"28","A","Ver","yes",3,"2.26","-0.11","-0.33"
"29","H","Udi","yes",3,"2.18","-0.07","-0.40"
"30","A","Fir","yes",3,"2.39","-0.18","-0.59"
"31","H","Juv","yes",3,"1.66","0.18","-0.41"
"32","A","Rom","yes",1,"1.31","0.35","-0.05"
"33","H","Bol","no",NA,"2.42","-0.19","-0.24"
"34","A","Sas","no",NA,"2.22","-0.09","-0.34"
"35","A","Par","no",NA,"2.70","-0.33","-0.67"
"36","H","Ben","no",NA,"2.03","-0.00","-0.67"
"37","A","Gen","no",NA,"2.36","-0.16","-0.83"
"38","H","Mil","no",NA,"0.34","0.83","0.00"
