"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Ver","yes",0,"1.20","0.29","0.29"
"2","H","Juv","yes",1,"2.03","-0.20","0.09"
"3","A","Udi","yes",3,"1.46","0.14","0.22"
"4","H","Ben","yes",3,"2.33","-0.38","-0.16"
"5","A","Mil","yes",1,"1.09","0.35","0.19"
"6","H","Fir","yes",3,"2.56","-0.52","-0.32"
"7","A","Gen","yes",3,"1.35","0.20","-0.12"
"8","H","Par","yes",3,"2.70","-0.60","-0.72"
"9","A","Nap","yes",0,"0.43","0.75","0.02"
"10","H","Sas","yes",1,"1.96","-0.16","-0.14"
"11","A","Bol","yes",3,"0.94","0.44","0.30"
"12","H","Tor","yes",3,"2.44","-0.44","-0.14"
"13","A","Ata","yes",0,"0.64","0.62","0.48"
"14","H","Cag","yes",3,"2.59","-0.53","-0.05"
"15","H","Sam","yes",3,"2.45","-0.45","-0.50"
"16","A","Cro","yes",3,"1.78","-0.06","-0.56"
"17","H","Int","yes",1,"1.54","0.09","-0.47"
"18","A","Laz","yes",0,"0.52","0.69","0.22"
"19","H","Spe","yes",3,"2.55","-0.51","-0.29"
"20","H","Ver","yes",3,"2.37","-0.40","-0.70"
"21","A","Juv","yes",0,"0.39","0.77","0.07"
"22","H","Udi","yes",3,"2.44","-0.44","-0.37"
"23","A","Ben","yes",1,"1.81","-0.07","-0.44"
"24","H","Mil","yes",0,"0.53","0.69","0.24"
"25","A","Fir","yes",3,"1.41","0.17","0.41"
"26","H","Gen","yes",3,"2.57","-0.52","-0.11"
"27","A","Par","yes",0,"2.07","-0.23","-0.34"
"28","H","Nap","yes",0,"1.83","-0.08","-0.42"
"29","A","Sas","yes",1,"1.14","0.32","-0.09"
"30","H","Bol","yes",3,"2.61","-0.54","-0.64"
"31","A","Tor","yes",0,"1.76","-0.04","-0.68"
"32","H","Ata","yes",1,"1.49","0.12","-0.56"
"33","A","Cag","no",NA,"1.62","0.04","-0.52"
"34","A","Sam","no",NA,"1.04","0.38","-0.14"
"35","H","Cro","no",NA,"2.84","-0.68","-0.82"
"36","A","Int","no",NA,"0.13","0.92","0.10"
"37","H","Laz","no",NA,"2.06","-0.22","-0.12"
"38","A","Spe","no",NA,"1.49","0.12","-0.00"
