"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Fir","yes",0,"1.35","-0.39","-0.39"
"2","H","Ata","yes",0,"0.28","0.71","0.32"
"3","H","Cag","yes",0,"1.24","-0.28","0.05"
"4","A","Sas","yes",1,"1.09","-0.12","-0.07"
"5","H","Laz","yes",0,"0.55","0.43","0.36"
"6","A","Gen","yes",3,"1.29","-0.33","0.03"
"7","H","Cro","yes",1,"2.09","-1.15","-1.12"
"8","A","Int","yes",0,"0.12","0.87","-0.24"
"9","H","Sam","yes",1,"0.97","0.01","-0.24"
"10","A","Juv","yes",0,"0.36","0.63","0.39"
"11","H","Udi","yes",0,"0.96","0.02","0.41"
"12","A","Rom","yes",0,"0.40","0.59","1.00"
"13","H","Bol","yes",1,"1.30","-0.34","0.66"
"14","A","Nap","yes",1,"0.40","0.59","1.25"
"15","A","Par","yes",3,"2.02","-1.08","0.17"
"16","H","Ver","yes",1,"0.86","0.12","0.29"
"17","A","Mil","yes",0,"1.04","-0.07","0.22"
"18","H","Spe","yes",1,"1.17","-0.20","0.02"
"19","A","Ben","yes",1,"1.76","-0.81","-0.79"
"20","H","Fir","yes",1,"1.19","-0.22","-1.01"
"21","A","Ata","yes",1,"0.61","0.38","-0.64"
"22","H","Gen","yes",1,"1.20","-0.24","-0.87"
"23","A","Cag","yes",3,"1.56","-0.61","-1.48"
"24","A","Cro","yes",0,"1.73","-0.78","-2.26"
"25","H","Int","yes",0,"0.29","0.70","-1.56"
"26","H","Sas","yes",3,"0.48","0.50","-1.06"
"27","A","Sam","yes",0,"0.99","-0.02","-1.08"
"28","H","Juv","yes",1,"0.53","0.45","-0.63"
"29","A","Udi","yes",3,"1.40","-0.44","-1.07"
"30","H","Rom","yes",3,"0.90","0.07","-1.00"
"31","A","Bol","yes",1,"0.89","0.08","-0.92"
"32","H","Nap","no",NA,"0.41","0.58","-0.34"
"33","H","Par","no",NA,"1.56","-0.60","-0.94"
"34","A","Ver","no",NA,"1.14","-0.17","-1.12"
"35","H","Mil","no",NA,"0.07","0.92","-0.19"
"36","A","Spe","no",NA,"1.43","-0.47","-0.66"
"37","H","Ben","no",NA,"0.81","0.17","-0.49"
"38","A","Laz","no",NA,"0.49","0.49","0.00"
