"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Mil","yes",0,"0.67","0.43","0.43"
"2","H","Par","yes",3,"2.23","-0.88","-0.45"
"3","A","Ben","yes",0,"1.28","-0.08","-0.53"
"4","H","Sas","yes",0,"1.27","-0.07","-0.60"
"5","A","Laz","yes",0,"0.33","0.72","0.12"
"6","H","Cag","yes",3,"2.24","-0.89","-0.77"
"7","H","Nap","yes",0,"1.04","0.13","-0.64"
"8","A","Sam","yes",3,"0.75","0.37","-0.27"
"9","H","Cro","yes",3,"2.83","-1.39","-1.66"
"10","A","Int","yes",0,"0.08","0.94","-0.72"
"11","H","Rom","yes",0,"1.50","-0.27","-0.98"
"12","A","Spe","yes",1,"1.08","0.09","-0.90"
"13","A","Tor","yes",1,"1.52","-0.28","-1.18"
"14","H","Ata","yes",1,"0.73","0.38","-0.80"
"15","A","Fir","yes",1,"0.94","0.21","-0.58"
"16","H","Udi","yes",1,"1.95","-0.65","-1.23"
"17","A","Gen","yes",0,"0.98","0.17","-1.06"
"18","H","Ver","yes",3,"1.66","-0.40","-1.45"
"19","A","Juv","yes",0,"0.23","0.81","-0.65"
"20","H","Mil","yes",0,"0.21","0.83","0.18"
"21","A","Par","yes",3,"1.45","-0.22","-0.04"
"22","H","Ben","yes",1,"1.56","-0.31","-0.35"
"23","A","Sas","yes",1,"0.87","0.27","-0.08"
"24","H","Laz","yes",3,"1.24","-0.04","-0.13"
"25","A","Cag","yes",0,"1.27","-0.07","-0.19"
"26","A","Nap","yes",0,"0.25","0.79","0.60"
"27","H","Sam","yes",3,"1.87","-0.58","0.02"
"28","A","Cro","yes",3,"1.09","0.08","0.10"
"29","H","Int","yes",0,"0.69","0.42","0.52"
"30","A","Rom","yes",0,"0.22","0.81","1.33"
"31","H","Spe","no",NA,"1.89","-0.59","0.74"
"32","H","Tor","no",NA,"1.82","-0.53","0.20"
"33","A","Ata","no",NA,"0.42","0.64","0.85"
"34","H","Fir","no",NA,"2.16","-0.82","0.03"
"35","A","Udi","no",NA,"0.85","0.28","0.31"
"36","H","Gen","no",NA,"1.99","-0.68","-0.37"
"37","A","Ver","no",NA,"0.76","0.36","-0.01"
"38","H","Juv","no",NA,"1.17","0.01","0.00"
