"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Sas","yes",0,"0.65","0.35","0.35"
"2","A","Udi","yes",3,"1.15","-0.15","0.20"
"3","A","Mil","yes",0,"0.85","0.15","0.35"
"4","H","Fir","yes",1,"1.58","-0.58","-0.23"
"5","A","Par","yes",1,"1.76","-0.75","-0.98"
"6","H","Juv","yes",0,"0.65","0.35","-0.63"
"7","A","Ben","yes",3,"1.62","-0.61","-1.25"
"8","H","Ata","yes",1,"0.33","0.67","-0.58"
"9","A","Cag","yes",1,"1.43","-0.43","-1.01"
"10","H","Laz","yes",0,"0.63","0.37","-0.64"
"11","A","Cro","yes",0,"1.51","-0.50","-1.14"
"12","H","Bol","yes",1,"1.49","-0.49","-1.63"
"13","A","Int","yes",0,"0.11","0.89","-0.74"
"14","H","Gen","yes",0,"1.38","-0.38","-1.11"
"15","H","Ver","yes",0,"1.02","-0.02","-1.13"
"16","A","Nap","yes",3,"0.36","0.64","-0.50"
"17","H","Sam","yes",3,"1.16","-0.16","-0.65"
"18","A","Tor","yes",1,"1.61","-0.61","-1.26"
"19","A","Rom","yes",0,"0.32","0.68","-0.58"
"20","H","Udi","yes",0,"1.13","-0.13","-0.71"
"21","A","Sas","yes",3,"1.07","-0.07","-0.78"
"22","H","Mil","yes",3,"0.09","0.91","0.13"
"23","A","Fir","yes",0,"1.23","-0.22","-0.09"
"24","H","Par","yes",1,"1.73","-0.73","-0.82"
"25","A","Juv","yes",0,"0.32","0.68","-0.14"
"26","H","Ben","yes",1,"0.93","0.07","-0.06"
"27","A","Ata","yes",0,"0.52","0.48","0.41"
"28","H","Cag","yes",3,"1.61","-0.61","-0.20"
"29","A","Laz","yes",0,"0.42","0.58","0.38"
"30","H","Cro","yes",3,"2.60","-1.59","-1.21"
"31","A","Bol","yes",0,"0.73","0.28","-0.93"
"32","H","Int","no",NA,"0.30","0.70","-0.24"
"33","A","Gen","no",NA,"1.28","-0.27","-0.51"
"34","A","Ver","no",NA,"1.01","-0.01","-0.51"
"35","H","Nap","no",NA,"0.50","0.50","-0.01"
"36","A","Sam","no",NA,"0.89","0.11","0.10"
"37","H","Tor","no",NA,"1.12","-0.12","-0.02"
"38","H","Rom","no",NA,"0.98","0.02","-0.00"
