"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Ver","yes",0,"1.13","0.03","0.03"
"2","H","Spe","yes",0,"1.51","-0.30","-0.27"
"3","H","Rom","yes",0,"1.22","-0.05","-0.32"
"4","H","Par","yes",3,"1.97","-0.69","-1.01"
"5","A","Fir","yes",0,"1.35","-0.16","-1.17"
"6","H","Mil","yes",0,"0.12","0.89","-0.28"
"7","A","Sas","yes",1,"1.19","-0.02","-0.30"
"8","H","Gen","yes",3,"1.64","-0.41","-0.71"
"9","A","Laz","yes",3,"0.49","0.58","-0.13"
"10","A","Tor","yes",3,"1.73","-0.49","-0.62"
"11","H","Cro","yes",1,"2.70","-1.32","-1.94"
"12","A","Cag","yes",1,"1.56","-0.34","-2.28"
"13","H","Ben","yes",0,"1.17","-0.00","-2.29"
"14","A","Juv","yes",0,"0.37","0.68","-1.61"
"15","A","Bol","yes",1,"0.83","0.29","-1.32"
"16","H","Nap","yes",0,"0.66","0.43","-0.88"
"17","A","Sam","yes",0,"1.00","0.14","-0.75"
"18","H","Ata","yes",1,"0.45","0.62","-0.13"
"19","H","Int","yes",1,"0.43","0.63","0.50"
"20","A","Spe","yes",3,"1.51","-0.30","0.20"
"21","H","Ver","yes",3,"1.27","-0.09","0.11"
"22","A","Rom","yes",0,"0.37","0.68","0.79"
"23","A","Par","yes",1,"1.88","-0.61","0.18"
"24","H","Fir","yes",3,"1.83","-0.58","-0.40"
"25","A","Mil","yes",1,"0.96","0.17","-0.22"
"26","H","Sas","yes",3,"0.85","0.27","0.04"
"27","A","Gen","yes",1,"1.40","-0.21","-0.16"
"28","H","Laz","yes",0,"0.82","0.30","0.13"
"29","A","Ata","yes",0,"0.60","0.48","0.62"
"30","H","Tor","yes",0,"1.38","-0.19","0.43"
"31","A","Cro","yes",3,"1.63","-0.40","0.03"
"32","H","Cag","no",NA,"1.86","-0.60","-0.57"
"33","A","Ben","no",NA,"1.74","-0.50","-1.07"
"34","H","Juv","no",NA,"0.85","0.27","-0.80"
"35","H","Bol","no",NA,"1.75","-0.50","-1.30"
"36","A","Nap","no",NA,"0.44","0.62","-0.68"
"37","H","Sam","no",NA,"1.41","-0.22","-0.89"
"38","A","Int","no",NA,"0.12","0.89","0.00"
