"","HA","vs","played","sched","cumulative"
"1","A","Tot","yes","0.32","0.32"
"2","H","Bou","yes","-0.93","-0.61"
"3","H","Eve","yes","-0.24","-0.85"
"4","A","Pal","yes","0.15","-0.69"
"5","H","WHU","yes","-0.72","-1.41"
"6","A","Ars","yes","0.34","-1.07"
"7","H","Bur","yes","-0.14","-1.21"
"8","A","Nor","yes","-0.66","-1.86"
"9","H","BHA","yes","-0.61","-2.47"
"10","A","MnC","yes","0.70","-1.77"
"11","H","Liv","yes","0.84","-0.93"
"12","A","Wol","yes","0.39","-0.54"
"13","H","New","yes","-0.35","-0.89"
"14","A","MnU","yes","0.51","-0.38"
"15","A","Che","yes","0.53","0.15"
"16","H","Lei","yes","0.16","0.31"
"17","A","ShU","yes","0.36","0.67"
"18","H","Sot","yes","-0.28","0.39"
"19","H","Nor","yes","-1.22","-0.83"
"20","A","Wat","yes","-0.21","-1.04"
"21","A","Bur","yes","0.33","-0.72"
"22","H","MnC","yes","0.44","-0.28"
"23","A","BHA","yes","-0.05","-0.32"
"24","H","Wat","yes","-0.79","-1.11"
"25","A","Bou","yes","-0.35","-1.46"
"26","H","Tot","yes","-0.14","-1.60"
"27","A","Sot","yes","0.22","-1.38"
"28","A","Lei","yes","0.53","-0.85"
"29","H","ShU","yes","-0.09","-0.95"
"30","H","Che","yes","0.16","-0.79"
"31","A","New","yes","0.16","-0.62"
"32","H","Wol","yes","-0.05","-0.67"
"33","A","Liv","yes","0.92","0.24"
"34","H","MnU","yes","0.14","0.38"
"35","H","Pal","no","-0.37","0.01"
"36","A","Eve","no","0.25","0.26"
"37","H","Ars","no","-0.12","0.15"
"38","A","WHU","no","-0.15","-0.00"
