"","HA","vs","played","sched","cumulative"
"1","H","Ars","yes","-0.13","-0.13"
"2","A","Nor","yes","-0.52","-0.64"
"3","A","Tot","yes","0.27","-0.37"
"4","H","Wat","yes","-0.54","-0.91"
"5","A","Liv","yes","0.89","-0.02"
"6","H","BHA","yes","-0.47","-0.49"
"7","A","Lei","yes","0.47","-0.02"
"8","H","MnU","yes","0.08","0.06"
"9","A","Che","yes","0.45","0.51"
"10","H","Wol","yes","-0.07","0.44"
"11","A","WHU","yes","-0.09","0.35"
"12","H","Bou","yes","-0.66","-0.32"
"13","A","Ast","yes","-0.28","-0.60"
"14","H","MnC","yes","0.37","-0.23"
"15","A","ShU","yes","0.34","0.11"
"16","H","Sot","yes","-0.25","-0.14"
"17","A","Bur","yes","0.29","0.15"
"18","H","Pal","yes","-0.31","-0.16"
"19","A","MnU","yes","0.46","0.30"
"20","H","Eve","yes","-0.22","0.08"
"21","H","Lei","yes","0.10","0.18"
"22","A","Wol","yes","0.33","0.52"
"23","H","Che","yes","0.07","0.59"
"24","A","Eve","yes","0.20","0.79"
"25","H","Nor","yes","-0.85","-0.05"
"26","A","Ars","yes","0.29","0.23"
"27","A","Pal","yes","0.12","0.35"
"28","H","Bur","yes","-0.12","0.23"
"29","A","Sot","yes","0.17","0.41"
"30","H","ShU","yes","-0.07","0.34"
"31","H","Ast","yes","-0.67","-0.33"
"32","A","Bou","yes","-0.28","-0.61"
"33","H","WHU","yes","-0.51","-1.11"
"34","A","MnC","yes","0.66","-0.46"
"35","A","Wat","yes","-0.13","-0.59"
"36","H","Tot","no","-0.14","-0.73"
"37","A","BHA","no","-0.05","-0.78"
"38","H","Liv","no","0.78","-0.00"
