"","HA","vs","played","sched","cumulative"
"1","H","Eve","yes","-0.35","-0.35"
"2","A","ShU","yes","0.31","-0.04"
"3","A","MnU","yes","0.39","0.34"
"4","H","Ast","yes","-0.52","-0.18"
"5","A","Tot","yes","0.33","0.15"
"6","H","Wol","yes","-0.14","0.01"
"7","H","Nor","yes","-0.73","-0.72"
"8","A","WHU","yes","-0.05","-0.77"
"9","H","MnC","yes","0.27","-0.49"
"10","A","Ars","yes","0.10","-0.39"
"11","H","Lei","yes","0.44","0.05"
"12","A","Che","yes","0.49","0.55"
"13","H","Liv","yes","0.94","1.48"
"14","A","Bur","yes","0.07","1.55"
"15","H","Bou","yes","-0.50","1.05"
"16","A","Wat","yes","-0.23","0.82"
"17","H","BHA","yes","-0.41","0.41"
"18","A","New","yes","0.16","0.57"
"19","H","WHU","yes","-0.51","0.06"
"20","A","Sot","yes","0.08","0.14"
"21","A","Nor","no","-0.36","-0.23"
"22","H","Ars","no","-0.39","-0.62"
"23","A","MnC","no","0.66","0.04"
"24","H","Sot","no","-0.41","-0.37"
"25","H","ShU","no","-0.20","-0.57"
"26","A","Eve","no","0.15","-0.41"
"27","H","New","no","-0.34","-0.76"
"28","A","BHA","no","0.08","-0.68"
"29","H","Wat","no","-0.65","-1.32"
"30","A","Bou","no","-0.03","-1.35"
"31","A","Liv","no","0.98","-0.38"
"32","H","Bur","no","-0.42","-0.80"
"33","A","Lei","no","0.76","-0.04"
"34","H","Che","no","0.02","-0.02"
"35","A","Ast","no","-0.06","-0.07"
"36","H","MnU","no","-0.11","-0.19"
"37","A","Wol","no","0.36","0.17"
"38","H","Tot","no","-0.17","-0.00"
