"team","teamId","playedGames","goalDifference","points","rank"
"Real Madrid CF",86,38,45,87,1
"FC Barcelona",81,38,48,82,2
"Club Atlético de Madrid",78,38,24,70,3
"Sevilla FC",559,38,20,70,4
"Villarreal CF",94,38,14,60,5
"Real Sociedad de Fútbol",92,38,8,56,6
"Granada CF",83,38,7,56,7
"Getafe CF",82,38,6,54,8
"Valencia CF",95,38,-7,53,9
"CA Osasuna",79,38,-8,52,10
"Athletic Club",77,38,3,51,11
"Levante UD",88,38,-6,49,12
"Real Valladolid CF",250,38,-11,42,13
"SD Eibar",278,38,-17,42,14
"Real Betis Balompié",90,38,-12,41,15
"Deportivo Alavés",263,38,-25,39,16
"RC Celta de Vigo",558,38,-12,37,17
"CD Leganés",745,38,-21,36,18
"RCD Mallorca",89,38,-25,33,19
"RCD Espanyol de Barcelona",80,38,-31,25,20
