fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name
77,Athletic Club,Athletic Bilbao,Bil,Athletic Bilbao,Ath Bilbao
78,Club Atlético de Madrid,Atlético Madrid,Atl,Atletico Madrid,Atl Madrid
79,CA Osasuna,Osasuna,Osa,Osasuna,Osasuna
80,RCD Espanyol de Barcelona,Espanyol,Esp,Espanyol,Espanyol
81,FC Barcelona,Barcelona,Bar,Barcelona,Barcelona
82,Getafe CF,Getafe,Get,Getafe,Getafe
83,Granada CF,Granada,Gra,Granada,Granada
86,Real Madrid CF,Real Madrid,RMa,Real Madrid,Real Madrid
88,Levante UD,Levante,Lev,Levante,Levante
89,RCD Mallorca,Mallorca,Mal,Mallorca,Mallorca
90,Real Betis Balompié,Real Betis,Bet,Real Betis,Real Betis
92,Real Sociedad de Fútbol,Real Sociedad,RSo,Real Sociedad,Real Sociedad
94,Villarreal CF,Villarreal,Vil,Villarreal,Villarreal
95,Valencia CF,Valencia,Val,Valencia,Valencia
250,Real Valladolid CF,Valladolid,RVd,Real Valladolid,Real Valladolid
263,Deportivo Alavés,Alavés,Ala,Alaves,Alavés
278,SD Eibar,Eibar,Eib,Eibar,Eibar
558,RC Celta de Vigo,Celta Vigo,Cel,Celta Vigo,Celta Vigo
559,Sevilla FC,Sevilla,Sev,Sevilla,Sevilla
745,CD Leganés,Leganés,Leg,Leganes,Leganés
