"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"RMa","Real Madrid",38,45,87,1,1,38,2.29
"Bar","Barcelona",38,48,82,2,2,38,2.16
"Atl","Atlético Madrid",38,24,70,3,3,38,1.84
"Sev","Sevilla",38,20,70,4,4,38,1.84
"Vil","Villarreal",38,14,60,5,5,38,1.58
"RSo","Real Sociedad",38,8,56,6,6,38,1.47
"Gra","Granada",38,7,56,7,7,38,1.47
"Get","Getafe",38,6,54,8,8,38,1.42
"Val","Valencia",38,-7,53,9,9,38,1.39
"Osa","Osasuna",38,-8,52,10,10,38,1.37
"Bil","Athletic Bilbao",38,3,51,11,11,38,1.34
"Lev","Levante",38,-6,49,12,12,38,1.29
"RVd","Valladolid",38,-11,42,13,13,38,1.11
"Eib","Eibar",38,-17,42,14,14,38,1.11
"Bet","Real Betis",38,-12,41,15,15,38,1.08
"Ala","Alavés",38,-25,39,16,16,38,1.03
"Cel","Celta Vigo",38,-12,37,17,17,38,0.97
"Leg","Leganés",38,-21,36,18,18,38,0.95
"Mal","Mallorca",38,-25,33,19,19,38,0.87
"Esp","Espanyol",38,-31,25,20,20,38,0.66
