"fdo_id","fdo_name","short_name","abbrev","sky_name","BBC_name"
77,"Athletic Club","Athletic","ATH",NA,NA
78,"Club Atlético de Madrid","Atleti","ATM",NA,NA
79,"CA Osasuna","Osasuna","OSA",NA,NA
80,"RCD Espanyol de Barcelona","Espanyol","ESP",NA,NA
81,"FC Barcelona","Barça","FCB",NA,NA
82,"Getafe CF","Getafe","GET",NA,NA
83,"Granada CF","Granada","GRA",NA,NA
86,"Real Madrid CF","Real Madrid","RMA",NA,NA
88,"Levante UD","Levante","LEV",NA,NA
89,"RCD Mallorca","Mallorca","MAL",NA,NA
90,"Real Betis Balompié","Real Betis","BET",NA,NA
92,"Real Sociedad de Fútbol","Real Sociedad","RSO",NA,NA
94,"Villarreal CF","Villarreal","VIL",NA,NA
95,"Valencia CF","Valencia","VAL",NA,NA
250,"Real Valladolid CF","Valladolid","VLD",NA,NA
263,"Deportivo Alavés","Alavés","ALA",NA,NA
278,"SD Eibar","Eibar","EIB",NA,NA
558,"RC Celta de Vigo","Celta","CEL",NA,NA
559,"Sevilla FC","Sevilla FC","SEV",NA,NA
745,"CD Leganés","Leganés","LEG",NA,NA
