"team","teamId","playedGames","goalDifference","points","rank"
"Burnley FC",328,46,52,101,1
"Sheffield United FC",356,46,34,91,2
"Luton Town FC",389,46,18,80,3
"Middlesbrough FC",343,46,28,75,4
"Coventry City FC",1076,46,12,70,5
"Sunderland AFC",71,46,13,69,6
"Blackburn Rovers FC",59,46,-2,69,7
"Millwall FC",384,46,7,68,8
"West Bromwich Albion FC",74,46,6,66,9
"Swansea City AFC",72,46,4,66,10
"Watford FC",346,46,3,63,11
"Preston North End FC",1081,46,-14,63,12
"Norwich City FC",68,46,3,62,13
"Bristol City FC",387,46,-1,59,14
"Hull City AFC",322,46,-10,58,15
"Stoke City FC",70,46,1,53,16
"Birmingham City FC",332,46,-11,53,17
"Huddersfield Town AFC",394,46,-15,53,18
"Rotherham United FC",385,46,-11,50,19
"Queens Park Rangers FC",69,46,-27,50,20
"Cardiff City FC",715,46,-17,49,21
"Reading FC",355,46,-22,44,22
"Blackpool FC",336,46,-24,44,23
"Wigan Athletic FC",75,46,-27,42,24
