,fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
1,77,Athletic Club,Athletic,Ath,NA,Athletic Club,0
2,78,Club Atlético de Madrid,Atleti,Atl,NA,Atletico Madrid,0
3,79,CA Osasuna,Osasuna,Osa,NA,Osasuna,0
4,80,RCD Espanyol de Barcelona,Espanyol,Esp,NA,Espanyol,0
5,81,FC Barcelona,Barça,FCB,NA,Barcelona,0
6,82,Getafe CF,Getafe,Get,NA,Getafe,0
7,86,Real Madrid CF,Real Madrid,RMa,NA,Real Madrid,0
8,87,Rayo Vallecano de Madrid,Rayo Vallecano,Ray,NA,Rayo Vallecano,0
9,88,Levante UD,Levante,Lev,NA,Levante,0
10,89,RCD Mallorca,Mallorca,Mal,NA,Mallorca,0
11,90,Real Betis Balompié,Real Betis,Bet,NA,Real Betis,0
12,92,Real Sociedad de Fútbol,Real Sociedad,RSo,NA,Real Sociedad,0
13,94,Villarreal CF,Villarreal,Vil,NA,Villarreal,0
14,95,Valencia CF,Valencia,Val,NA,Valencia,0
15,263,Deportivo Alavés,Alavés,Ala,NA,Alavés,0
16,285,Elche CF,Elche,Elc,NA,Elche,0
17,298,Girona FC,Girona,Gir,NA,Girona,0
18,558,RC Celta de Vigo,Celta,Cel,NA,Celta Vigo,0
19,559,Sevilla FC,Sevilla FC,Sev,NA,Sevilla,0
20,1048,Real Oviedo,Real Oviedo,Ovi,NA,Real Oviedo,0
