"team","teamId","playedGames","goalDifference","points","rank"
"FC Barcelona",81,36,59,91,1
"Real Madrid CF",86,36,39,80,2
"Villarreal CF",94,36,24,69,3
"Club Atlético de Madrid",78,36,21,66,4
"Real Betis Balompié",90,36,12,57,5
"RC Celta de Vigo",558,36,4,50,6
"Getafe CF",82,36,-6,48,7
"Real Sociedad de Fútbol",92,36,-1,45,8
"Athletic Club",77,36,-13,44,9
"Rayo Vallecano de Madrid",87,36,-6,44,10
"Valencia CF",95,36,-12,43,11
"Sevilla FC",559,36,-12,43,12
"CA Osasuna",79,36,-4,42,13
"RCD Espanyol de Barcelona",80,36,-13,42,14
"Girona FC",298,36,-15,40,15
"Deportivo Alavés",263,36,-12,40,16
"Elche CF",285,36,-9,39,17
"RCD Mallorca",89,36,-11,39,18
"Levante UD",88,36,-15,39,19
"Real Oviedo",1048,36,-30,29,20
