"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Pto","yes",0,"0.91","0.55","0.55"
"2","H","SCl","yes",0,"2.27","-0.11","0.44"
"3","A","Ton","yes",3,"1.53","0.25","0.69"
"4","H","Nac","yes",3,"2.60","-0.28","0.42"
"5","A","Gui","yes",3,"2.17","-0.06","0.35"
"6","H","Fam","yes",3,"2.17","-0.06","0.29"
"7","A","Ben","yes",3,"1.23","0.40","0.68"
"8","H","Far","yes",3,"2.49","-0.22","0.46"
"9","A","Bel","yes",0,"2.07","-0.02","0.45"
"10","H","Rio","yes",3,"2.47","-0.21","0.24"
"11","A","Boa","yes",3,"2.31","-0.13","0.11"
"12","A","Spo","yes",0,"0.82","0.60","0.70"
"13","H","Mar","yes",3,"2.40","-0.17","0.53"
"14","A","Pac","yes",0,"1.18","0.42","0.95"
"15","H","Gil","yes",3,"2.29","-0.12","0.82"
"16","A","Mor","yes",3,"2.25","-0.10","0.72"
"17","H","Pse","yes",3,"2.51","-0.23","0.49"
"18","H","Pto","yes",1,"1.00","0.51","1.00"
"19","A","SCl","yes",3,"2.03","0.01","1.01"
"20","H","Ton","yes",3,"2.64","-0.29","0.71"
"21","A","Nac","yes",3,"2.37","-0.16","0.55"
"22","H","Gui","yes",3,"2.13","-0.05","0.51"
"23","A","Fam","yes",1,"2.45","-0.20","0.31"
"24","H","Ben","yes",0,"1.45","0.29","0.60"
"25","A","Far","yes",3,"2.37","-0.16","0.44"
"26","H","Bel","yes",1,"2.48","-0.21","0.22"
"27","A","Rio","yes",1,"2.31","-0.13","0.09"
"28","H","Boa","yes",3,"2.45","-0.20","-0.11"
"29","H","Spo","yes",0,"0.64","0.68","0.58"
"30","A","Mar","no",NA,"2.41","-0.18","0.40"
"31","H","Pac","no",NA,"2.43","-0.19","0.21"
"32","A","Gil","no",NA,"2.38","-0.17","0.04"
"33","H","Mor","no",NA,"2.20","-0.08","-0.04"
"34","A","Pse","no",NA,"1.96","0.04","-0.00"
