"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Pse","yes",1,"0.86","0.46","0.46"
"2","H","Spo","yes",0,"0.79","0.50","0.96"
"3","A","Gui","yes",0,"1.14","0.27","1.23"
"4","H","SCl","yes",3,"2.26","-0.44","0.79"
"5","A","Nac","yes",1,"1.63","-0.03","0.76"
"6","H","Pto","yes",3,"1.00","0.36","1.12"
"7","H","Fam","yes",3,"2.28","-0.45","0.68"
"8","A","Mor","yes",3,"1.24","0.21","0.89"
"9","A","Ben","yes",0,"0.45","0.71","1.60"
"10","H","Boa","yes",1,"2.48","-0.58","1.03"
"11","A","Far","yes",1,"1.44","0.08","1.11"
"12","H","Rio","yes",3,"2.48","-0.58","0.54"
"13","A","Bel","yes",3,"1.15","0.27","0.81"
"14","H","Bra","yes",3,"1.62","-0.03","0.77"
"15","A","Mar","yes",3,"1.50","0.05","0.82"
"16","A","Gil","yes",3,"1.36","0.13","0.95"
"17","H","Ton","yes",3,"2.65","-0.69","0.27"
"18","H","Pse","yes",1,"2.53","-0.61","-0.34"
"19","A","Spo","yes",0,"0.18","0.89","0.55"
"20","H","Gui","yes",3,"1.98","-0.26","0.29"
"21","A","SCl","yes",0,"0.98","0.38","0.67"
"22","H","Nac","yes",3,"2.60","-0.65","0.02"
"23","A","Pto","yes",0,"0.31","0.80","0.82"
"24","H","Mor","yes",3,"2.24","-0.42","0.40"
"25","A","Fam","yes",0,"1.53","0.03","0.43"
"26","H","Ben","yes",0,"1.56","0.01","0.44"
"27","A","Boa","yes",0,"1.22","0.22","0.66"
"28","H","Far","yes",0,"2.51","-0.59","0.07"
"29","A","Rio","no",NA,"1.31","0.17","0.24"
"30","H","Bel","no",NA,"2.53","-0.60","-0.37"
"31","A","Bra","no",NA,"0.37","0.76","0.40"
"32","H","Mar","no",NA,"2.50","-0.59","-0.19"
"33","H","Gil","no",NA,"2.25","-0.43","-0.62"
"34","A","Ton","no",NA,"0.60","0.62","0.00"
