"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Pac","yes",1,"1.81","-0.57","-0.57"
"2","A","Gil","yes",0,"1.24","-0.07","-0.64"
"3","H","Spo","yes",0,"0.31","0.73","0.09"
"4","A","Mar","yes",3,"1.29","-0.11","-0.02"
"5","A","Ton","yes",0,"0.46","0.61","0.59"
"6","H","SCl","yes",0,"1.54","-0.32","0.26"
"7","A","Pto","yes",0,"0.22","0.81","1.07"
"8","H","Nac","yes",3,"2.14","-0.84","0.23"
"9","A","Gui","yes",0,"0.96","0.17","0.40"
"10","H","Fam","yes",1,"1.45","-0.25","0.15"
"11","A","Ben","yes",0,"0.36","0.69","0.84"
"12","H","Far","yes",3,"1.94","-0.67","0.18"
"13","A","Rio","yes",0,"1.10","0.05","0.22"
"14","H","Bel","yes",3,"1.91","-0.64","-0.42"
"15","A","Mor","yes",1,"1.05","0.10","-0.32"
"16","H","Boa","yes",0,"1.88","-0.62","-0.94"
"17","A","Bra","yes",0,"0.29","0.75","-0.19"
"18","A","Pac","yes",1,"0.31","0.73","0.54"
"19","H","Gil","yes",3,"1.50","-0.30","0.24"
"20","A","Spo","yes",0,"0.19","0.84","1.08"
"21","H","Mar","yes",1,"1.91","-0.65","0.43"
"22","H","Ton","yes",3,"2.22","-0.91","-0.48"
"23","A","SCl","yes",0,"0.80","0.31","-0.18"
"24","H","Pto","yes",0,"0.44","0.62","0.44"
"25","A","Nac","yes",3,"1.41","-0.22","0.23"
"26","H","Gui","yes",3,"1.23","-0.06","0.16"
"27","A","Fam","yes",3,"1.32","-0.14","0.02"
"28","H","Ben","yes",0,"0.72","0.38","0.40"
"29","A","Far","no",NA,"1.23","-0.06","0.34"
"30","H","Rio","no",NA,"1.89","-0.63","-0.28"
"31","A","Bel","no",NA,"0.96","0.17","-0.11"
"32","H","Mor","no",NA,"1.49","-0.29","-0.40"
"33","A","Boa","no",NA,"1.02","0.12","-0.28"
"34","H","Bra","no",NA,"0.83","0.28","-0.00"
