"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Fam","yes",3,"2.52","-0.21","-0.21"
"2","H","Mor","yes",3,"2.19","-0.05","-0.26"
"3","H","Far","yes",3,"2.48","-0.19","-0.44"
"4","A","Rio","yes",3,"2.39","-0.14","-0.59"
"5","H","Bel","yes",3,"2.47","-0.18","-0.77"
"6","A","Boa","yes",0,"2.40","-0.15","-0.92"
"7","H","Bra","yes",0,"1.56","0.25","-0.67"
"8","A","Mar","yes",3,"2.48","-0.19","-0.85"
"9","H","Pac","yes",3,"2.42","-0.16","-1.02"
"10","A","Gil","yes",3,"2.45","-0.17","-1.19"
"11","H","Pse","yes",3,"2.51","-0.20","-1.39"
"12","A","SCl","yes",1,"2.13","-0.02","-1.41"
"13","H","Ton","yes",3,"2.63","-0.26","-1.67"
"14","A","Pto","yes",1,"1.02","0.51","-1.16"
"15","H","Nac","yes",1,"2.60","-0.25","-1.41"
"16","A","Spo","yes",0,"0.93","0.55","-0.85"
"17","H","Gui","yes",1,"2.12","-0.02","-0.87"
"18","H","Fam","yes",3,"2.16","-0.04","-0.91"
"19","A","Mor","yes",1,"2.34","-0.12","-1.02"
"20","A","Far","yes",1,"2.44","-0.17","-1.19"
"21","H","Rio","yes",3,"2.46","-0.18","-1.37"
"22","A","Bel","yes",3,"2.17","-0.04","-1.41"
"23","H","Boa","yes",3,"2.44","-0.17","-1.58"
"24","A","Bra","yes",3,"1.35","0.35","-1.23"
"25","H","Mar","yes",3,"2.39","-0.15","-1.38"
"26","A","Pac","yes",3,"1.31","0.37","-1.00"
"27","H","Gil","yes",0,"2.28","-0.09","-1.10"
"28","A","Pse","yes",3,"2.07","0.01","-1.09"
"29","H","SCl","yes",3,"2.27","-0.08","-1.17"
"30","A","Ton","no",NA,"1.66","0.21","-0.97"
"31","H","Pto","no",NA,"0.99","0.52","-0.44"
"32","A","Nac","no",NA,"2.44","-0.17","-0.61"
"33","H","Spo","no",NA,"0.64","0.70","0.08"
"34","A","Gui","no",NA,"2.26","-0.08","0.00"
