"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Pac","yes",3,"2.07","0.17","0.17"
"2","A","Pse","yes",3,"2.54","-0.01","0.16"
"3","H","Pto","yes",1,"1.45","0.42","0.58"
"4","A","SCl","yes",3,"2.60","-0.04","0.54"
"5","H","Gil","yes",3,"2.51","-0.00","0.53"
"6","H","Ton","yes",3,"2.78","-0.11","0.42"
"7","A","Gui","yes",3,"2.66","-0.07","0.36"
"8","H","Mor","yes",3,"2.50","-0.00","0.36"
"9","A","Fam","yes",1,"2.77","-0.11","0.25"
"10","H","Far","yes",3,"2.69","-0.07","0.17"
"11","A","Bel","yes",3,"2.67","-0.07","0.10"
"12","H","Bra","yes",3,"2.04","0.18","0.29"
"13","A","Nac","yes",3,"2.80","-0.12","0.17"
"14","H","Rio","yes",1,"2.67","-0.07","0.10"
"15","A","Boa","yes",3,"2.69","-0.08","0.03"
"16","H","Ben","yes",3,"1.99","0.21","0.23"
"17","A","Mar","yes",3,"2.77","-0.11","0.12"
"18","A","Gil","yes",3,"2.73","-0.09","0.03"
"19","H","Pac","yes",3,"2.64","-0.06","-0.03"
"20","H","Pse","yes",3,"2.70","-0.08","-0.11"
"21","A","Pto","yes",1,"1.89","0.24","0.14"
"22","H","SCl","yes",3,"2.52","-0.01","0.13"
"23","A","Ton","yes",3,"2.35","0.06","0.19"
"24","H","Gui","yes",3,"2.32","0.07","0.26"
"25","A","Mor","yes",1,"2.70","-0.08","0.18"
"26","H","Fam","yes",1,"2.53","-0.01","0.17"
"27","A","Far","yes",3,"2.75","-0.10","0.07"
"28","H","Bel","yes",1,"2.67","-0.07","-0.00"
"29","A","Bra","no",NA,"2.03","0.19","0.18"
"30","H","Nac","no",NA,"2.74","-0.10","0.09"
"31","A","Rio","no",NA,"2.72","-0.09","0.00"
"32","H","Boa","no",NA,"2.66","-0.07","-0.07"
"33","A","Ben","no",NA,"2.16","0.14","0.07"
"34","H","Mar","no",NA,"2.68","-0.07","0.00"
