"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","RSo","yes",3,2,"1.69","0.09","0.09"
"2","A","Bil","yes",1,0,"1.63","0.11","0.20"
"3","H","Get","yes",3,1,"2.31","-0.26","-0.06"
"4","H","Gra","yes",1,0,"2.18","-0.18","-0.24"
"5","A","Cad","yes",1,0,"2.34","-0.27","-0.51"
"6","H","Lev","yes",3,3,"2.33","-0.26","-0.77"
"7","A","Atl","yes",0,-2,"1.30","0.30","-0.48"
"8","H","Val","yes",3,2,"1.89","-0.02","-0.50"
"9","H","RMa","yes",0,-1,"0.79","0.57","0.07"
"10","A","Ray","yes",0,-1,"1.59","0.14","0.21"
"11","H","Ala","yes",1,0,"2.47","-0.34","-0.13"
"12","A","Cel","yes",1,0,"2.10","-0.14","-0.27"
"13","H","Esp","yes",3,1,"2.40","-0.30","-0.57"
"14","A","Vil","yes",3,2,"1.35","0.27","-0.30"
"15","H","Bet","yes",0,-1,"1.42","0.23","-0.07"
"16","A","Osa","yes",1,0,"2.01","-0.09","-0.16"
"17","H","Elc","yes",3,1,"2.06","-0.12","-0.28"
"18","A","Sev","yes",1,0,"1.13","0.39","0.11"
"19","A","Mal","yes",3,1,"1.85","-0.00","0.11"
"20","A","Gra","yes",1,0,"2.14","-0.16","-0.05"
"21","A","Ala","yes",3,1,"1.94","-0.05","-0.10"
"22","H","Atl","yes",3,2,"1.72","0.07","-0.04"
"23","A","Esp","yes",1,0,"1.54","0.16","0.13"
"24","A","Val","yes",3,3,"1.98","-0.08","0.05"
"25","H","Bil","yes",3,4,"1.85","-0.00","0.05"
"26","A","Elc","yes",3,1,"1.89","-0.03","0.02"
"27","H","Osa","yes",3,4,"1.70","0.08","0.10"
"28","A","RMa","yes",3,4,"1.08","0.41","0.51"
"29","H","Sev","yes",3,1,"1.66","0.10","0.61"
"30","A","Lev","yes",3,1,"2.21","-0.20","0.41"
"31","H","Cad","yes",0,-1,"1.95","-0.06","0.36"
"32","A","RSo","yes",3,1,"1.53","0.17","0.53"
"33","H","Ray","yes",0,-1,"2.24","-0.22","0.31"
"34","H","Mal","no",NA,NA,"2.40","-0.30","0.01"
"35","A","Bet","no",NA,NA,"1.71","0.07","0.08"
"36","H","Cel","no",NA,NA,"1.82","0.01","0.09"
"37","A","Get","no",NA,NA,"1.80","0.02","0.12"
"38","H","Vil","no",NA,NA,"2.06","-0.12","0.00"
