"team","teamId","playedGames","goalDifference","points","rank"
"Manchester City FC",65,38,61,89,1
"Arsenal FC",57,38,45,84,2
"Manchester United FC",66,38,15,75,3
"Newcastle United FC",67,38,35,71,4
"Liverpool FC",64,38,28,67,5
"Brighton & Hove Albion FC",397,38,19,62,6
"Aston Villa FC",58,38,5,61,7
"Tottenham Hotspur FC",73,38,7,60,8
"Brentford FC",402,38,12,59,9
"Fulham FC",63,38,2,52,10
"Crystal Palace FC",354,38,-9,45,11
"Chelsea FC",61,38,-9,44,12
"Wolverhampton Wanderers FC",76,38,-27,41,13
"West Ham United FC",563,38,-13,40,14
"AFC Bournemouth",1044,38,-34,39,15
"Nottingham Forest FC",351,38,-30,38,16
"Everton FC",62,38,-23,36,17
"Leicester City FC",338,38,-17,34,18
"Leeds United FC",341,38,-30,31,19
"Southampton FC",340,38,-37,25,20
