"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"MnC","Man City",38,61,89,1,1,38,2.34
"Ars","Arsenal",38,45,84,2,2,38,2.21
"MnU","Man Utd",38,15,75,3,3,38,1.97
"New","Newcastle",38,35,71,4,4,38,1.87
"Liv","Liverpool",38,28,67,5,5,38,1.76
"BHA","Brighton",38,19,62,6,6,38,1.63
"Ast","Aston Villa",38,5,61,7,7,38,1.61
"Tot","Tottenham",38,7,60,8,8,38,1.58
"Bre","Brentford",38,12,59,9,9,38,1.55
"Ful","Fulham",38,2,52,10,10,38,1.37
"Pal","Crystal Palace",38,-9,45,11,11,38,1.18
"Che","Chelsea",38,-9,44,12,12,38,1.16
"Wol","Wolves",38,-27,41,13,13,38,1.08
"WHU","West Ham",38,-13,40,14,14,38,1.05
"Bou","Bournemouth",38,-34,39,15,15,38,1.03
"Not","Nottingham Forest",38,-30,38,16,16,38,1
"Eve","Everton",38,-23,36,17,17,38,0.95
"Lei","Leicester City",38,-17,34,18,18,38,0.89
"Lee","Leeds United",38,-30,31,19,19,38,0.82
"Sot","Southampton",38,-37,25,20,20,38,0.66
