"team","teamId","playedGames","goalDifference","points","rank"
"Bayer 04 Leverkusen",3,34,65,90,1
"VfB Stuttgart",10,34,39,73,2
"FC Bayern München",5,34,49,72,3
"RB Leipzig",721,34,38,65,4
"Borussia Dortmund",4,34,25,63,5
"Eintracht Frankfurt",19,34,1,47,6
"TSG 1899 Hoffenheim",2,34,0,46,7
"1. FC Heidenheim 1846",44,34,-5,42,8
"SV Werder Bremen",12,34,-6,42,9
"SC Freiburg",17,34,-13,42,10
"FC Augsburg",16,34,-10,39,11
"VfL Wolfsburg",11,34,-15,37,12
"1. FSV Mainz 05",15,34,-12,35,13
"Borussia Mönchengladbach",18,34,-11,34,14
"1. FC Union Berlin",28,34,-25,33,15
"VfL Bochum 1848",36,34,-32,33,16
"1. FC Köln",1,34,-32,27,17
"SV Darmstadt 98",55,34,-56,17,18
