"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Lev","Leverkusen",34,65,90,1,1,34,2.65
"Stu","Stuttgart",34,39,73,2,2,34,2.15
"Mun","Bayern Munich",34,49,72,3,3,34,2.12
"Lei","RB Leipzig",34,38,65,4,4,34,1.91
"Dor","Dortmund",34,25,63,5,5,34,1.85
"Fra","Frankfurt",34,1,47,6,6,34,1.38
"Hof","Hoffenheim",34,0,46,7,7,34,1.35
"Hei","Heidenheim",34,-5,42,8,8,34,1.24
"Bre","Bremen",34,-6,42,9,9,34,1.24
"Fbg","Freiburg",34,-13,42,10,10,34,1.24
"Aug","Augsburg",34,-10,39,11,11,34,1.15
"Wol","Wolfsburg",34,-15,37,12,12,34,1.09
"Mai","Mainz",34,-12,35,13,13,34,1.03
"BMg","M'gladbach",34,-11,34,14,14,34,1
"UnB","Union Berlin",34,-25,33,15,15,34,0.97
"Boc","Bochum",34,-32,33,16,16,34,0.97
"Kln","Köln",34,-32,27,17,17,34,0.79
"Dar","Darmstadt",34,-56,17,18,18,34,0.5
