fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
1,1. FC Köln,Köln,Kln,NA,Köln,0
2,TSG 1899 Hoffenheim,Hoffenheim,Hof,NA,Hoffenheim,0
3,Bayer 04 Leverkusen,Leverkusen,Lev,NA,B Leverkusen,0
4,Borussia Dortmund,Dortmund,Dor,NA,B Dortmund,0
5,FC Bayern München,Bayern Munich,Mun,NA,Bayern Munich,0
10,VfB Stuttgart,Stuttgart,Stu,NA,Stuttgart,0
11,VfL Wolfsburg,Wolfsburg,Wol,NA,Wolfsburg,0
12,SV Werder Bremen,Bremen,Bre,NA,Werder Bremen,0
15,1. FSV Mainz 05,Mainz,Mai,NA,Mainz,0
16,FC Augsburg,Augsburg,Aug,NA,Augsburg,0
17,SC Freiburg,Freiburg,Fbg,NA,Freiburg,0
18,Borussia Mönchengladbach,M'gladbach,BMg,NA,B Mgladbach,0
19,Eintracht Frankfurt,Frankfurt,Fra,NA,Frankfurt,0
28,1. FC Union Berlin,Union Berlin,UnB,NA,Union Berlin,0
36,VfL Bochum 1848,Bochum,Boc,NA,VfL Bochum,0
44,1. FC Heidenheim 1846,Heidenheim,Hei,NA,Heidenheim,0
55,SV Darmstadt 98,Darmstadt,Dar,NA,Darmstadt,0
721,RB Leipzig,RB Leipzig,Lei,NA,RB Leipzig,0
