"team","teamId","playedGames","goalDifference","points","rank"
"Juventus FC",109,38,33,83,1
"FC Internazionale Milano",108,38,45,82,2
"Atalanta BC",102,38,50,78,3
"SS Lazio",110,38,37,78,4
"AS Roma",100,38,26,70,5
"AC Milan",98,38,17,66,6
"SSC Napoli",113,38,11,62,7
"US Sassuolo Calcio",471,38,6,51,8
"Hellas Verona FC",450,38,-4,49,9
"ACF Fiorentina",99,38,3,49,10
"Parma Calcio 1913",112,38,-1,49,11
"Bologna FC 1909",103,38,-13,47,12
"Udinese Calcio",115,38,-14,45,13
"Cagliari Calcio",104,38,-4,45,14
"UC Sampdoria",584,38,-17,42,15
"Torino FC",586,38,-22,40,16
"Genoa CFC",107,38,-26,39,17
"US Lecce",5890,38,-33,35,18
"Brescia Calcio",449,38,-44,25,19
"SPAL 2013",1107,38,-50,20,20
