fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name
98,AC Milan,AC Milan,Mil,AC Milan,AC Milan
99,ACF Fiorentina,Fiorentina,Fir,Fiorentina,Fiorentina
100,AS Roma,Roma,Rom,Roma,Roma
102,Atalanta BC,Atalanta,Ata,Atalanta,Atalanta
103,Bologna FC 1909,Bologna,Bol,Bologna,Bologna
104,Cagliari Calcio,Cagliari,Cag,Cagliari,Cagliari
107,Genoa CFC,Genoa,Gen,Genoa,Genoa
108,FC Internazionale Milano,Inter Milan,Int,Inter Milan,Inter Milan
109,Juventus FC,Juventus,Juv,Juventus,Juventus
110,SS Lazio,Lazio,Laz,Lazio,Lazio
112,Parma Calcio 1913,Parma,Par,Parma,Parma
113,SSC Napoli,Napoli,Nap,Napoli,Napoli
115,Udinese Calcio,Udinese,Udi,Udinese,Udinese
449,Brescia Calcio,Brescia,Bre,Brescia,Brescia
450,Hellas Verona FC,Verona,Ver,Verona,Hellas Verona
471,US Sassuolo Calcio,Sassuolo,Sas,Sassuolo,Sassuolo
584,UC Sampdoria,Sampdoria,Sam,Sampdoria,Sampdoria
586,Torino FC,Torino,Tor,Torino,Torino
1107,SPAL 2013,SPAL,SPA,Spal,SPAL
5890,US Lecce,Lecce,Lec,Lecce,Lecce
