"matchday","homeTeamName","homeTeamId","awayTeamName","awayTeamId","FTHG","FTAG","FTR","date"
1,"Parma Calcio 1913",112,"Juventus FC",109,NA,NA,NA,"2019-08-24"
1,"ACF Fiorentina",99,"SSC Napoli",113,NA,NA,NA,"2019-08-24"
1,"Udinese Calcio",115,"AC Milan",98,NA,NA,NA,"2019-08-25"
1,"AS Roma",100,"Genoa CFC",107,NA,NA,NA,"2019-08-25"
1,"UC Sampdoria",584,"SS Lazio",110,NA,NA,NA,"2019-08-25"
1,"Cagliari Calcio",104,"Brescia Calcio",449,NA,NA,NA,"2019-08-25"
1,"Torino FC",586,"US Sassuolo Calcio",471,NA,NA,NA,"2019-08-25"
1,"Hellas Verona FC",450,"Bologna FC 1909",103,NA,NA,NA,"2019-08-25"
1,"SPAL 2013",1107,"Atalanta BC",102,NA,NA,NA,"2019-08-25"
1,"FC Internazionale Milano",108,"US Lecce",5890,NA,NA,NA,"2019-08-26"
2,"Bologna FC 1909",103,"SPAL 2013",1107,NA,NA,NA,"2019-08-30"
2,"AC Milan",98,"Brescia Calcio",449,NA,NA,NA,"2019-08-31"
2,"Juventus FC",109,"SSC Napoli",113,NA,NA,NA,"2019-08-31"
2,"SS Lazio",110,"AS Roma",100,NA,NA,NA,"2019-09-01"
2,"Udinese Calcio",115,"Parma Calcio 1913",112,NA,NA,NA,"2019-09-01"
2,"Atalanta BC",102,"Torino FC",586,NA,NA,NA,"2019-09-01"
2,"Cagliari Calcio",104,"FC Internazionale Milano",108,NA,NA,NA,"2019-09-01"
2,"Genoa CFC",107,"ACF Fiorentina",99,NA,NA,NA,"2019-09-01"
2,"US Sassuolo Calcio",471,"UC Sampdoria",584,NA,NA,NA,"2019-09-01"
2,"US Lecce",5890,"Hellas Verona FC",450,NA,NA,NA,"2019-09-01"
3,"SSC Napoli",113,"UC Sampdoria",584,NA,NA,NA,"2019-09-15"
3,"FC Internazionale Milano",108,"Udinese Calcio",115,NA,NA,NA,"2019-09-15"
