"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Juv","Juventus",38,33,83,1,1,38,2.18
"Int","Inter Milan",38,45,82,2,2,38,2.16
"Ata","Atalanta",38,50,78,3,3,38,2.05
"Laz","Lazio",38,37,78,4,4,38,2.05
"Rom","Roma",38,26,70,5,5,38,1.84
"Mil","AC Milan",38,17,66,6,6,38,1.74
"Nap","Napoli",38,11,62,7,7,38,1.63
"Sas","Sassuolo",38,6,51,8,8,38,1.34
"Fir","Fiorentina",38,3,49,10,9,38,1.29
"Par","Parma",38,-1,49,11,10,38,1.29
"Ver","Verona",38,-4,49,9,11,38,1.29
"Bol","Bologna",38,-13,47,12,12,38,1.24
"Cag","Cagliari",38,-4,45,14,13,38,1.18
"Udi","Udinese",38,-14,45,13,14,38,1.18
"Sam","Sampdoria",38,-17,42,15,15,38,1.11
"Tor","Torino",38,-22,40,16,16,38,1.05
"Gen","Genoa",38,-26,39,17,17,38,1.03
"Lec","Lecce",38,-33,35,18,18,38,0.92
"Bre","Brescia",38,-44,25,19,19,38,0.66
"SPA","SPAL",38,-50,20,20,20,38,0.53
