fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
511,Toulouse FC,Toulouse,Tou,Toulouse,Toulouse,0
512,Stade Brestois 29,Brest,Bre,Brest,Brest,0
516,Olympique de Marseille,Marseille,Mar,Marseille,Olympique Marseille,0
518,Montpellier HSC,Montpellier,Mtp,Montpellier,Montpellier,1
521,Lille OSC,Lille,Lil,Lille,Lille,0
522,OGC Nice,Nice,Nic,Nice,Nice,0
523,Olympique Lyonnais,Lyon,Lyo,Lyon,Olympique Lyonnais,0
524,Paris Saint-Germain FC,PSG,PSG,Paris Saint-Germain,PSG,0
525,FC Lorient,Lorient,Lor,Lorient,Lorient,0
529,Stade Rennais FC 1901,Rennes,Ren,Rennes,Rennes,0
533,Le Havre AC,Le Havre,Hav,NA,Le Havre,0
541,Clermont Foot 63,Clermont Foot,Cle,Clermont,Clermont,0
543,FC Nantes,Nantes,Nan,Nantes,Nantes,0
545,FC Metz,FC Metz,Met,NA,Metz,0
546,Racing Club de Lens,Lens,Len,Lens,Lens,0
547,Stade de Reims,Reims,Rei,Reims,Reims,0
548,AS Monaco FC,Monaco,Mco,Monaco,Monaco,0
576,RC Strasbourg Alsace,Strasbourg,Str,Strasbourg,Strasbourg,0
