"team","teamId","playedGames","goalDifference","points","rank"
"Paris Saint-Germain FC",524,14,26,34,1
"Olympique de Marseille",516,13,12,26,2
"Lille OSC",521,14,10,26,3
"AS Monaco FC",548,13,10,26,4
"Olympique Lyonnais",523,13,6,22,5
"OGC Nice",522,13,8,20,6
"Racing Club de Lens",546,13,3,20,7
NA,NA,14,0,20,8
"Stade de Reims",547,13,2,18,9
"Toulouse FC",511,13,1,18,10
"Stade Brestois 29",512,14,-6,16,11
"Stade Rennais FC 1901",529,13,-1,14,12
"RC Strasbourg Alsace",576,13,-5,13,13
NA,NA,13,-7,13,14
NA,NA,13,-19,13,15
"Le Havre AC",533,13,-14,12,16
"FC Nantes",543,13,-5,11,17
"Montpellier HSC",518,13,-21,8,18
