"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"PSG","PSG",34,48,76,1,1,34,2.24
"Mco","Monaco",34,26,67,2,2,34,1.97
"Bre","Brest",34,19,61,3,3,34,1.79
"Lil","Lille",34,18,59,4,4,34,1.74
"Nic","Nice",34,11,55,5,5,34,1.62
"Lyo","Lyon",34,-6,53,6,6,34,1.56
"Len","Lens",34,8,51,7,7,34,1.5
"Mar","Marseille",34,11,50,8,8,34,1.47
"Rei","Reims",34,-5,47,9,9,34,1.38
"Ren","Rennes",34,7,46,10,10,34,1.35
"Tou","Toulouse",34,-4,43,11,11,34,1.26
"Mtp","Montpellier",34,-5,41,12,12,34,1.21
"Str","Strasbourg",34,-12,39,13,13,34,1.15
"Nan","Nantes",34,-25,33,14,14,34,0.97
"Hav","Le Havre",34,-11,32,15,15,34,0.94
"Met","FC Metz",34,-23,29,16,16,34,0.85
"Lor","Lorient",34,-23,29,17,17,34,0.85
"Cle","Clermont Foot",34,-34,25,18,18,34,0.74
