"matchday","homeTeamName","homeTeamId","awayTeamName","awayTeamId","FTHG","FTAG","FTR","date","UTCtime","status"
1,"OGC Nice",522,"Lille OSC",521,1,1,"D","2023-08-11","19:00:00","FINISHED"
1,"Olympique de Marseille",516,"Stade de Reims",547,2,1,"H","2023-08-12","15:00:00","FINISHED"
1,"Paris Saint-Germain FC",524,"FC Lorient",525,0,0,"D","2023-08-12","19:00:00","FINISHED"
1,"Stade Brestois 29",512,"Racing Club de Lens",546,3,2,"H","2023-08-13","11:00:00","FINISHED"
1,"Clermont Foot 63",541,"AS Monaco FC",548,2,4,"A","2023-08-13","13:00:00","FINISHED"
1,"FC Nantes",543,"Toulouse FC",511,1,2,"A","2023-08-13","13:00:00","FINISHED"
1,"Montpellier HSC",518,"Le Havre AC",533,2,2,"D","2023-08-13","13:00:00","FINISHED"
1,"Stade Rennais FC 1901",529,"FC Metz",545,5,1,"H","2023-08-13","15:05:00","FINISHED"
1,"RC Strasbourg Alsace",576,"Olympique Lyonnais",523,2,1,"H","2023-08-13","18:45:00","FINISHED"
2,"FC Metz",545,"Olympique de Marseille",516,2,2,"D","2023-08-18","19:00:00","FINISHED"
2,"Olympique Lyonnais",523,"Montpellier HSC",518,1,4,"A","2023-08-19","17:00:00","FINISHED"
2,"Toulouse FC",511,"Paris Saint-Germain FC",524,1,1,"D","2023-08-19","19:00:00","FINISHED"
2,"Lille OSC",521,"FC Nantes",543,2,0,"H","2023-08-20","11:00:00","FINISHED"
2,"Le Havre AC",533,"Stade Brestois 29",512,1,2,"A","2023-08-20","13:00:00","FINISHED"
2,"FC Lorient",525,"OGC Nice",522,1,1,"D","2023-08-20","13:00:00","FINISHED"
2,"Stade de Reims",547,"Clermont Foot 63",541,2,0,"H","2023-08-20","13:00:00","FINISHED"
2,"AS Monaco FC",548,"RC Strasbourg Alsace",576,3,0,"H","2023-08-20","17:00:00","FINISHED"
2,"Racing Club de Lens",546,"Stade Rennais FC 1901",529,1,1,"D","2023-08-20","18:45:00","FINISHED"
3,"FC Nantes",543,"AS Monaco FC",548,3,3,"D","2023-08-25","19:00:00","FINISHED"
3,"Olympique de Marseille",516,"Stade Brestois 29",512,2,0,"H","2023-08-26","17:00:00","FINISHED"
3,"Paris Saint-Germain FC",524,"Racing Club de Lens",546,3,1,"H","2023-08-26","19:00:00","FINISHED"
3,"Stade Rennais FC 1901",529,"Le Havre AC",533,2,2,"D","2023-08-27","11:00:00","FINISHED"
3,"Clermont Foot 63",541,"FC Metz",545,0,1,"A","2023-08-27","13:00:00","FINISHED"
3,"Montpellier HSC",518,"Stade de Reims",547,1,3,"A","2023-08-27","13:00:00","FINISHED"
3,"RC Strasbourg Alsace",576,"Toulouse FC",511,2,0,"H","2023-08-27","13:00:00","FINISHED"
3,"FC Lorient",525,"Lille OSC",521,4,1,"H","2023-08-27","15:05:00","FINISHED"
3,"OGC Nice",522,"Olympique Lyonnais",523,0,0,"D","2023-08-27","18:45:00","FINISHED"
4,"FC Nantes",543,"Olympique de Marseille",516,1,1,"D","2023-09-01","19:00:00","FINISHED"
4,"Stade Brestois 29",512,"Stade Rennais FC 1901",529,0,0,"D","2023-09-02","15:00:00","FINISHED"
4,"AS Monaco FC",548,"Racing Club de Lens",546,3,0,"H","2023-09-02","19:00:00","FINISHED"
4,"Toulouse FC",511,"Clermont Foot 63",541,2,2,"D","2023-09-03","11:00:00","FINISHED"
4,"Le Havre AC",533,"FC Lorient",525,3,0,"H","2023-09-03","13:00:00","FINISHED"
4,"FC Metz",545,"Stade de Reims",547,2,2,"D","2023-09-03","13:00:00","FINISHED"
4,"Lille OSC",521,"Montpellier HSC",518,1,0,"H","2023-09-03","13:00:00","FINISHED"
4,"OGC Nice",522,"RC Strasbourg Alsace",576,2,0,"H","2023-09-03","15:05:00","FINISHED"
4,"Olympique Lyonnais",523,"Paris Saint-Germain FC",524,1,4,"A","2023-09-03","18:45:00","FINISHED"
5,"Paris Saint-Germain FC",524,"OGC Nice",522,2,3,"A","2023-09-15","19:00:00","FINISHED"
5,"Stade Rennais FC 1901",529,"Lille OSC",521,2,2,"D","2023-09-16","15:00:00","FINISHED"
5,"Racing Club de Lens",546,"FC Metz",545,0,1,"A","2023-09-16","19:00:00","FINISHED"
5,"FC Lorient",525,"AS Monaco FC",548,2,2,"D","2023-09-17","11:00:00","FINISHED"
5,"Clermont Foot 63",541,"FC Nantes",543,0,1,"A","2023-09-17","13:00:00","FINISHED"
5,"RC Strasbourg Alsace",576,"Montpellier HSC",518,2,2,"D","2023-09-17","13:00:00","FINISHED"
5,"Stade de Reims",547,"Stade Brestois 29",512,1,2,"A","2023-09-17","13:00:00","FINISHED"
5,"Olympique de Marseille",516,"Toulouse FC",511,0,0,"D","2023-09-17","15:05:00","FINISHED"
5,"Olympique Lyonnais",523,"Le Havre AC",533,0,0,"D","2023-09-17","18:45:00","FINISHED"
6,"AS Monaco FC",548,"OGC Nice",522,0,1,"A","2023-09-22","19:00:00","FINISHED"
6,"FC Nantes",543,"FC Lorient",525,5,3,"H","2023-09-23","15:00:00","FINISHED"
6,"Stade Brestois 29",512,"Olympique Lyonnais",523,1,0,"H","2023-09-23","19:00:00","FINISHED"
6,"FC Metz",545,"RC Strasbourg Alsace",576,0,1,"A","2023-09-24","11:00:00","FINISHED"
6,"Le Havre AC",533,"Clermont Foot 63",541,2,1,"H","2023-09-24","13:00:00","FINISHED"
6,"Racing Club de Lens",546,"Toulouse FC",511,2,1,"H","2023-09-24","13:00:00","FINISHED"
6,"Montpellier HSC",518,"Stade Rennais FC 1901",529,0,0,"D","2023-09-24","15:05:00","FINISHED"
6,"Paris Saint-Germain FC",524,"Olympique de Marseille",516,4,0,"H","2023-09-24","18:45:00","FINISHED"
6,"Lille OSC",521,"Stade de Reims",547,1,2,"A","2023-09-26","19:00:00","FINISHED"
7,"RC Strasbourg Alsace",576,"Racing Club de Lens",546,0,1,"A","2023-09-29","19:00:00","FINISHED"
7,"Clermont Foot 63",541,"Paris Saint-Germain FC",524,0,0,"D","2023-09-30","15:00:00","FINISHED"
7,"AS Monaco FC",548,"Olympique de Marseille",516,3,2,"H","2023-09-30","19:00:00","FINISHED"
7,"Stade de Reims",547,"Olympique Lyonnais",523,2,0,"H","2023-10-01","11:00:00","FINISHED"
7,"Le Havre AC",533,"Lille OSC",521,0,2,"A","2023-10-01","13:00:00","FINISHED"
7,"Toulouse FC",511,"FC Metz",545,3,0,"H","2023-10-01","13:00:00","FINISHED"
7,"OGC Nice",522,"Stade Brestois 29",512,0,0,"D","2023-10-01","13:00:00","FINISHED"
7,"FC Lorient",525,"Montpellier HSC",518,0,3,"A","2023-10-01","15:05:00","FINISHED"
7,"Stade Rennais FC 1901",529,"FC Nantes",543,3,1,"H","2023-10-01","18:45:00","FINISHED"
8,"RC Strasbourg Alsace",576,"FC Nantes",543,1,2,"A","2023-10-06","19:00:00","FINISHED"
8,"FC Metz",545,"OGC Nice",522,0,1,"A","2023-10-07","15:00:00","FINISHED"
8,"Stade de Reims",547,"AS Monaco FC",548,1,3,"A","2023-10-07","19:00:00","FINISHED"
8,"Olympique de Marseille",516,"Le Havre AC",533,3,0,"H","2023-10-08","11:00:00","FINISHED"
8,"Olympique Lyonnais",523,"FC Lorient",525,3,3,"D","2023-10-08","13:00:00","FINISHED"
8,"Stade Brestois 29",512,"Toulouse FC",511,1,1,"D","2023-10-08","13:00:00","FINISHED"
8,"Racing Club de Lens",546,"Lille OSC",521,1,1,"D","2023-10-08","15:05:00","FINISHED"
8,"Stade Rennais FC 1901",529,"Paris Saint-Germain FC",524,1,3,"A","2023-10-08","19:00:00","FINISHED"
9,"Le Havre AC",533,"Racing Club de Lens",546,0,0,"D","2023-10-20","19:00:00","FINISHED"
9,"Paris Saint-Germain FC",524,"RC Strasbourg Alsace",576,3,0,"H","2023-10-21","15:00:00","FINISHED"
9,"OGC Nice",522,"Olympique de Marseille",516,1,0,"H","2023-10-21","19:00:00","FINISHED"
9,"FC Lorient",525,"Stade Rennais FC 1901",529,2,1,"H","2023-10-22","11:00:00","FINISHED"
9,"FC Nantes",543,"Montpellier HSC",518,2,0,"H","2023-10-22","13:00:00","FINISHED"
9,"Toulouse FC",511,"Stade de Reims",547,1,1,"D","2023-10-22","13:00:00","FINISHED"
9,"Lille OSC",521,"Stade Brestois 29",512,1,0,"H","2023-10-22","13:00:00","FINISHED"
9,"AS Monaco FC",548,"FC Metz",545,2,1,"H","2023-10-22","15:05:00","FINISHED"
9,"Olympique Lyonnais",523,"Clermont Foot 63",541,1,2,"A","2023-10-22","18:45:00","FINISHED"
10,"Clermont Foot 63",541,"OGC Nice",522,0,1,"A","2023-10-27","19:00:00","FINISHED"
10,"Stade de Reims",547,"FC Lorient",525,1,0,"H","2023-10-28","15:00:00","FINISHED"
10,"Racing Club de Lens",546,"FC Nantes",543,4,0,"H","2023-10-28","19:00:00","FINISHED"
10,"Stade Brestois 29",512,"Paris Saint-Germain FC",524,2,3,"A","2023-10-29","12:00:00","FINISHED"
10,"FC Metz",545,"Le Havre AC",533,0,0,"D","2023-10-29","14:00:00","FINISHED"
10,"Montpellier HSC",518,"Toulouse FC",511,3,0,"H","2023-10-29","14:00:00","FINISHED"
10,"Lille OSC",521,"AS Monaco FC",548,2,0,"H","2023-10-29","14:00:00","FINISHED"
10,"Stade Rennais FC 1901",529,"RC Strasbourg Alsace",576,1,1,"D","2023-10-29","16:05:00","FINISHED"
11,"Paris Saint-Germain FC",524,"Montpellier HSC",518,3,0,"H","2023-11-03","20:00:00","FINISHED"
11,"FC Lorient",525,"Racing Club de Lens",546,0,0,"D","2023-11-04","16:00:00","FINISHED"
11,"Olympique de Marseille",516,"Lille OSC",521,0,0,"D","2023-11-04","20:00:00","FINISHED"
11,"Olympique Lyonnais",523,"FC Metz",545,1,1,"D","2023-11-05","12:00:00","FINISHED"
11,"FC Nantes",543,"Stade de Reims",547,0,1,"A","2023-11-05","14:00:00","FINISHED"
11,"Toulouse FC",511,"Le Havre AC",533,1,2,"A","2023-11-05","14:00:00","FINISHED"
11,"RC Strasbourg Alsace",576,"Clermont Foot 63",541,0,0,"D","2023-11-05","14:00:00","FINISHED"
11,"AS Monaco FC",548,"Stade Brestois 29",512,2,0,"H","2023-11-05","16:05:00","FINISHED"
11,"OGC Nice",522,"Stade Rennais FC 1901",529,2,0,"H","2023-11-05","19:45:00","FINISHED"
12,"Montpellier HSC",518,"OGC Nice",522,0,0,"D","2023-11-10","20:00:00","FINISHED"
12,"Stade de Reims",547,"Paris Saint-Germain FC",524,0,3,"A","2023-11-11","16:00:00","FINISHED"
12,"Le Havre AC",533,"AS Monaco FC",548,0,0,"D","2023-11-11","20:00:00","FINISHED"
12,"Clermont Foot 63",541,"FC Lorient",525,1,0,"H","2023-11-12","14:00:00","FINISHED"
12,"FC Metz",545,"FC Nantes",543,3,1,"H","2023-11-12","14:00:00","FINISHED"
12,"Lille OSC",521,"Toulouse FC",511,1,1,"D","2023-11-12","14:00:00","FINISHED"
12,"Stade Rennais FC 1901",529,"Olympique Lyonnais",523,0,1,"A","2023-11-12","16:05:00","FINISHED"
12,"Racing Club de Lens",546,"Olympique de Marseille",516,1,0,"H","2023-11-12","19:45:00","FINISHED"
13,"Paris Saint-Germain FC",524,"AS Monaco FC",548,5,2,"H","2023-11-24","20:00:00","FINISHED"
13,"Clermont Foot 63",541,"Racing Club de Lens",546,0,3,"A","2023-11-25","16:00:00","FINISHED"
13,"RC Strasbourg Alsace",576,"Olympique de Marseille",516,1,1,"D","2023-11-25","20:00:00","FINISHED"
13,"OGC Nice",522,"Toulouse FC",511,1,0,"H","2023-11-26","12:00:00","FINISHED"
13,"FC Lorient",525,"FC Metz",545,2,3,"A","2023-11-26","14:00:00","FINISHED"
13,"FC Nantes",543,"Le Havre AC",533,0,0,"D","2023-11-26","14:00:00","FINISHED"
13,"Montpellier HSC",518,"Stade Brestois 29",512,1,3,"A","2023-11-26","14:00:00","FINISHED"
13,"Stade Rennais FC 1901",529,"Stade de Reims",547,3,1,"H","2023-11-26","16:05:00","FINISHED"
13,"Olympique Lyonnais",523,"Lille OSC",521,0,2,"A","2023-11-26","19:45:00","FINISHED"
8,"Montpellier HSC",518,"Clermont Foot 63",541,1,1,"D","2023-11-29","18:00:00","FINISHED"
14,"Stade de Reims",547,"RC Strasbourg Alsace",576,2,1,"H","2023-12-01","20:00:00","FINISHED"
