"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Zwo","yes",3,1,2,"1.99","-0.48","-0.48"
"2","H","Fey","yes",1,0,2,"0.30","0.78","0.30"
"3","A","Hee","yes",3,2,3,"1.46","-0.09","0.21"
"4","H","NEC","yes",1,0,1,"1.17","0.13","0.34"
"5","A","AZA","yes",0,-2,0,"0.81","0.40","0.74"
"6","H","Vit","yes",3,1,1,"1.99","-0.48","0.26"
"7","A","Exc","yes",0,-1,1,"1.92","-0.43","-0.17"
"8","H","PSV","yes",0,-4,0,"0.19","0.86","0.69"
"9","A","GoA","yes",1,0,0,"1.30","0.03","0.72"
"10","H","RKC","yes",3,2,2,"1.94","-0.44","0.28"
"11","H","Alm","yes",0,-1,1,"1.36","-0.01","0.26"
"12","A","Vol","yes",3,3,4,"2.30","-0.71","-0.45"
"13","H","Utr","yes",0,-1,1,"1.32","0.02","-0.43"
"14","A","Her","yes",3,1,1,"1.33","0.01","-0.42"
"15","A","Ajx","yes",0,-1,1,"1.03","0.24","-0.18"
"16","H","Twe","yes",1,0,2,"0.83","0.38","0.20"
"17","A","Sit","yes",3,2,2,"1.32","0.02","0.22"
"18","H","GoA","yes",0,-2,0,"1.19","0.12","0.33"
"19","A","RKC","yes",1,0,1,"1.86","-0.38","-0.05"
"20","H","Zwo","yes",0,-2,0,"1.39","-0.04","-0.09"
"21","A","Fey","yes",0,-2,0,"0.50","0.63","0.54"
"22","H","Exc","yes",3,2,4,"1.92","-0.43","0.11"
"23","A","NEC","yes",0,-2,0,"1.08","0.20","0.31"
"24","H","AZA","yes",1,0,1,"0.93","0.31","0.62"
"25","A","Twe","yes",0,-1,1,"0.43","0.68","1.30"
"26","H","Ajx","yes",1,0,2,"1.03","0.24","1.53"
"27","H","Sit","yes",3,4,4,"1.78","-0.32","1.21"
"28","A","Vit","yes",3,3,4,"2.31","-0.72","0.49"
"29","H","Her","no",NA,NA,NA,"1.89","-0.40","0.09"
"30","A","Alm","no",NA,NA,NA,"1.84","-0.37","-0.28"
"31","H","Vol","no",NA,NA,NA,"2.02","-0.50","-0.78"
"32","A","PSV","no",NA,NA,NA,"0.14","0.90","0.11"
"33","A","Utr","no",NA,NA,NA,"1.24","0.08","0.19"
"34","H","Hee","no",NA,NA,NA,"1.60","-0.19","-0.00"
