"team","teamId","playedGames","goalDifference","points","rank"
"FC Porto",503,34,52,82,1
"Sport Lisboa e Benfica",1903,34,45,77,2
"Sporting Clube de Braga",5613,34,21,60,3
"Sporting Clube de Portugal",498,34,15,60,4
"Rio Ave FC",496,34,12,55,5
"FC Famalicão",5531,34,2,54,6
"Vitória SC",5543,34,15,50,7
"Moreirense FC",583,34,-2,43,8
"CD Santa Clara",5530,34,-5,43,9
"Gil Vicente FC",5533,34,-4,43,10
"CS Marítimo",5575,34,-8,39,11
"Boavista FC",810,34,-11,39,12
"FC Paços de Ferreira",507,34,-16,39,13
"CD Tondela",1049,34,-14,36,14
"Os Belenenses Futebol",5568,34,-27,35,15
"Vitória FC",5620,34,-16,34,16
"Portimonense SC",5601,34,-15,33,17
"CD Aves",5544,34,-44,17,18
