fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name
496,Rio Ave FC,Rio Ave,Rio,NA,Rio Ave
498,Sporting Clube de Portugal,Sporting Lisbon,Spo,NA,Sporting
503,FC Porto,Porto,Pto,NA,FC Porto
507,FC Paços de Ferreira,Paços Ferreira,Pac,NA,Paços de Ferreira
583,Moreirense FC,Moreirense,Mor,NA,Moreirense
810,Boavista FC,Boavista,Boa,NA,Boavista
1049,CD Tondela,Tondela,Ton,NA,Tondela
1903,Sport Lisboa e Benfica,Benfica,Ben,NA,Benfica
5530,CD Santa Clara,Santa Clara,SCl,NA,Santa Clara
5531,FC Famalicão,Famalicão,Fam,NA,FC Famalicão
5533,Gil Vicente FC,Gil Vicente,Gil,NA,Gil Vicente
5543,Vitória SC,Vitória Guimarães,Gui,NA,Vitória Guimarães
5544,CD Aves,Desportivo Aves,Ave,NA,Desportivo Aves
5568,Os Belenenses Futebol,Belenenses,Bel,NA,Belenenses
5575,CS Marítimo,Marítimo,Mar,NA,Marítimo
5601,Portimonense SC,Portimonense,Pse,NA,Portimonense
5613,Sporting Clube de Braga,Sporting Braga,Bra,NA,Sporting Braga
5620,Vitória FC,Vitória Setúbal,Set,NA,Vitória Setúbal
