"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Pto","Porto",34,52,82,1,1,34,2.41
"Ben","Benfica",34,45,77,2,2,34,2.26
"Bra","Sporting Braga",34,21,60,3,3,34,1.76
"Spo","Sporting Lisbon",34,15,60,4,4,34,1.76
"Rio","Rio Ave",34,12,55,5,5,34,1.62
"Fam","Famalicão",34,2,54,6,6,34,1.59
"Gui","Vitória Guimarães",34,15,50,7,7,34,1.47
"Mor","Moreirense",34,-2,43,8,8,34,1.26
"Gil","Gil Vicente",34,-4,43,10,9,34,1.26
"SCl","Santa Clara",34,-5,43,9,10,34,1.26
"Mar","Marítimo",34,-8,39,11,11,34,1.15
"Boa","Boavista",34,-11,39,12,12,34,1.15
"Pac","Paços Ferreira",34,-16,39,13,13,34,1.15
"Ton","Tondela",34,-14,36,14,14,34,1.06
"Bel","Belenenses",34,-27,35,15,15,34,1.03
"Set","Vitória Setúbal",34,-16,34,16,16,34,1
"Pse","Portimonense",34,-15,33,17,17,34,0.97
"Ave","Desportivo Aves",34,-44,17,18,18,34,0.5
