"matchday","homeTeamName","homeTeamId","awayTeamName","awayTeamId","FTHG","FTAG","FTR","date"
1,"Portimonense SC",5601,"Os Belenenses Futebol",5568,NA,NA,NA,"2019-08-09"
1,"CD Santa Clara",5530,"FC Famalicão",5531,NA,NA,NA,"2019-08-10"
1,"Gil Vicente FC",5533,"FC Porto",503,NA,NA,NA,"2019-08-10"
1,"Sport Lisboa e Benfica",1903,"FC Paços de Ferreira",507,NA,NA,NA,"2019-08-10"
1,"Boavista FC",810,"CD Aves",5544,NA,NA,NA,"2019-08-11"
1,"CS Marítimo",5575,"Sporting Clube de Portugal",498,NA,NA,NA,"2019-08-11"
1,"Rio Ave FC",496,"Vitória SC",5543,NA,NA,NA,"2019-08-11"
1,"Sporting Clube de Braga",5613,"Moreirense FC",583,NA,NA,NA,"2019-08-11"
1,"Vitória FC",5620,"CD Tondela",1049,NA,NA,NA,"2019-08-12"
2,"FC Porto",503,"Vitória FC",5620,NA,NA,NA,"2019-08-18"
2,"FC Paços de Ferreira",507,"CD Santa Clara",5530,NA,NA,NA,"2019-08-18"
2,"Moreirense FC",583,"Gil Vicente FC",5533,NA,NA,NA,"2019-08-18"
2,"Sporting Clube de Portugal",498,"Sporting Clube de Braga",5613,NA,NA,NA,"2019-08-18"
2,"Vitória SC",5543,"Boavista FC",810,NA,NA,NA,"2019-08-18"
2,"Os Belenenses Futebol",5568,"Sport Lisboa e Benfica",1903,NA,NA,NA,"2019-08-18"
2,"CD Aves",5544,"CS Marítimo",5575,NA,NA,NA,"2019-08-18"
2,"FC Famalicão",5531,"Rio Ave FC",496,NA,NA,NA,"2019-08-18"
2,"CD Tondela",1049,"Portimonense SC",5601,NA,NA,NA,"2019-08-18"
3,"CS Marítimo",5575,"CD Tondela",1049,NA,NA,NA,"2019-08-25"
3,"Gil Vicente FC",5533,"Sporting Clube de Braga",5613,NA,NA,NA,"2019-08-25"
3,"Rio Ave FC",496,"CD Aves",5544,NA,NA,NA,"2019-08-25"
3,"Sport Lisboa e Benfica",1903,"FC Porto",503,NA,NA,NA,"2019-08-25"
3,"Vitória FC",5620,"Moreirense FC",583,NA,NA,NA,"2019-08-25"
3,"Vitória SC",5543,"FC Famalicão",5531,NA,NA,NA,"2019-08-25"
3,"CD Santa Clara",5530,"Os Belenenses Futebol",5568,NA,NA,NA,"2019-08-25"
3,"Portimonense SC",5601,"Sporting Clube de Portugal",498,NA,NA,NA,"2019-08-25"
3,"Boavista FC",810,"FC Paços de Ferreira",507,NA,NA,NA,"2019-08-25"
4,"FC Porto",503,"Vitória SC",5543,NA,NA,NA,"2019-09-01"
4,"Sporting Clube de Braga",5613,"Sport Lisboa e Benfica",1903,NA,NA,NA,"2019-09-01"
4,"FC Paços de Ferreira",507,"CS Marítimo",5575,NA,NA,NA,"2019-09-01"
4,"Gil Vicente FC",5533,"Vitória FC",5620,NA,NA,NA,"2019-09-01"
4,"Moreirense FC",583,"Portimonense SC",5601,NA,NA,NA,"2019-09-01"
4,"Sporting Clube de Portugal",498,"Rio Ave FC",496,NA,NA,NA,"2019-09-01"
4,"Os Belenenses Futebol",5568,"Boavista FC",810,NA,NA,NA,"2019-09-01"
4,"CD Aves",5544,"FC Famalicão",5531,NA,NA,NA,"2019-09-01"
