"fdo_id","fdo_name","short_name","abbrev","sky_name","BBC_name"
496,"Rio Ave FC","Rio Ave","RIO",NA,NA
498,"Sporting Clube de Portugal","Sporting CP","SPO",NA,NA
503,"FC Porto","Porto","FCP",NA,NA
507,"FC Paços de Ferreira","Paços Ferreira","PAÇ",NA,NA
583,"Moreirense FC","Moreirense","MOR",NA,NA
810,"Boavista FC","Boavista","BOA",NA,NA
1049,"CD Tondela","CD Tondela","TON",NA,NA
1903,"Sport Lisboa e Benfica","SL Benfica","BEN",NA,NA
5530,"CD Santa Clara","CD Santa Clara","CDS",NA,NA
5531,"FC Famalicão","Famalicão","FAM",NA,NA
5533,"Gil Vicente FC","Gil Vicente FC","GIL",NA,NA
5543,"Vitória SC","Vitória SC","GUI",NA,NA
5544,"CD Aves","Aves","AVE",NA,NA
5568,"Os Belenenses Futebol","Belenenses","BEL",NA,NA
5575,"CS Marítimo","CS Marítimo","CSM",NA,NA
5601,"Portimonense SC","Portimonense","PSC",NA,NA
5613,"Sporting Clube de Braga","SC Braga","SCB",NA,NA
5620,"Vitória FC","Vitória FC","VIS",NA,NA
