"team","teamId","playedGames","goalDifference","points","rank"
"FC Internazionale Milano",108,38,54,91,1
"AC Milan",98,38,33,79,2
"Atalanta BC",102,38,43,78,3
"Juventus FC",109,38,39,78,4
"SSC Napoli",113,38,45,77,5
"SS Lazio",110,38,6,68,6
"AS Roma",100,38,10,62,7
"US Sassuolo Calcio",471,38,8,62,8
"UC Sampdoria",584,38,-2,52,9
"Hellas Verona FC",450,38,-2,45,10
"Genoa CFC",107,38,-11,42,11
"Bologna FC 1909",103,38,-14,41,12
"ACF Fiorentina",99,38,-12,40,13
"Udinese Calcio",115,38,-16,40,14
"Spezia Calcio",488,38,-20,39,15
"Cagliari Calcio",104,38,-16,37,16
"Torino FC",586,38,-19,37,17
"Benevento Calcio",1106,38,-35,33,18
"FC Crotone",472,38,-47,23,19
"Parma Calcio 1913",112,38,-44,20,20
