"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Int","Inter Milan",38,54,91,1,1,38,2.39
"Nap","Napoli",37,45,76,4,2,36.8,2.07
"Mil","AC Milan",37,31,76,3,3,36.8,2.07
"Ata","Atalanta",37,45,78,2,4,37.8,2.06
"Juv","Juventus",37,36,75,5,5,37.1,2.02
"Laz","Lazio",37,8,68,6,6,37.2,1.83
"Rom","Roma",37,10,61,7,7,37.3,1.64
"Sas","Sassuolo",37,6,59,8,8,37.2,1.59
"Sam","Sampdoria",38,-2,52,9,9,38,1.37
"Ver","Verona",37,-2,44,10,10,37.6,1.17
"Gen","Genoa",38,-11,42,11,11,38,1.11
"Bol","Bologna",37,-11,41,12,12,37.1,1.11
"Fir","Fiorentina",38,-12,40,13,13,38,1.05
"Udi","Udinese",38,-16,40,14,14,38,1.05
"Spe","Spezia",37,-20,38,15,15,36.6,1.04
"Cag","Cagliari",38,-16,37,16,16,38,0.97
"Tor","Torino",37,-19,36,17,17,37,0.97
"Ben","Benevento",37,-35,32,18,18,36.1,0.89
"Cro","Crotone",38,-47,23,19,19,38,0.61
"Par","Parma",38,-44,20,20,20,38,0.53
