"matchday","homeTeamName","homeTeamId","awayTeamName","awayTeamId","FTHG","FTAG","FTR","date"
1,"ACF Fiorentina",99,"Torino FC",586,1,0,"H","2020-09-19"
1,"Hellas Verona FC",450,"AS Roma",100,3,0,"H","2020-09-19"
1,"Parma Calcio 1913",112,"SSC Napoli",113,0,2,"A","2020-09-20"
1,"Genoa CFC",107,"FC Crotone",472,4,1,"H","2020-09-20"
1,"US Sassuolo Calcio",471,"Cagliari Calcio",104,1,1,"D","2020-09-20"
1,"Juventus FC",109,"UC Sampdoria",584,3,0,"H","2020-09-20"
1,"AC Milan",98,"Bologna FC 1909",103,2,0,"H","2020-09-21"
2,"Torino FC",586,"Atalanta BC",102,2,4,"A","2020-09-26"
2,"UC Sampdoria",584,"Benevento Calcio",1106,2,3,"A","2020-09-26"
2,"Cagliari Calcio",104,"SS Lazio",110,0,2,"A","2020-09-26"
2,"FC Internazionale Milano",108,"ACF Fiorentina",99,4,3,"H","2020-09-26"
2,"Spezia Calcio",488,"US Sassuolo Calcio",471,1,4,"A","2020-09-27"
2,"Hellas Verona FC",450,"Udinese Calcio",115,1,0,"H","2020-09-27"
2,"SSC Napoli",113,"Genoa CFC",107,6,0,"H","2020-09-27"
2,"FC Crotone",472,"AC Milan",98,0,2,"A","2020-09-27"
2,"AS Roma",100,"Juventus FC",109,2,2,"D","2020-09-27"
2,"Bologna FC 1909",103,"Parma Calcio 1913",112,4,1,"H","2020-09-28"
1,"Udinese Calcio",115,"Spezia Calcio",488,0,2,"A","2020-09-30"
1,"Benevento Calcio",1106,"FC Internazionale Milano",108,2,5,"A","2020-09-30"
1,"SS Lazio",110,"Atalanta BC",102,1,4,"A","2020-09-30"
3,"ACF Fiorentina",99,"UC Sampdoria",584,1,2,"A","2020-10-02"
3,"US Sassuolo Calcio",471,"FC Crotone",472,4,1,"H","2020-10-03"
3,"Udinese Calcio",115,"AS Roma",100,0,1,"A","2020-10-03"
3,"Atalanta BC",102,"Cagliari Calcio",104,5,2,"H","2020-10-04"
3,"SS Lazio",110,"FC Internazionale Milano",108,1,1,"D","2020-10-04"
3,"Parma Calcio 1913",112,"Hellas Verona FC",450,1,0,"H","2020-10-04"
3,"Benevento Calcio",1106,"Bologna FC 1909",103,1,0,"H","2020-10-04"
3,"AC Milan",98,"Spezia Calcio",488,3,0,"H","2020-10-04"
4,"SSC Napoli",113,"Atalanta BC",102,4,1,"H","2020-10-17"
4,"FC Internazionale Milano",108,"AC Milan",98,1,2,"A","2020-10-17"
4,"UC Sampdoria",584,"SS Lazio",110,3,0,"H","2020-10-17"
4,"FC Crotone",472,"Juventus FC",109,1,1,"D","2020-10-17"
