"team","teamId","playedGames","goalDifference","points","rank"
"AFC Ajax",678,34,79,88,1
"PSV",674,34,39,72,2
"AZ",682,34,34,71,3
"SBV Vitesse",679,34,14,61,4
"Feyenoord Rotterdam",675,34,28,59,5
"FC Utrecht",676,34,11,53,6
"FC Groningen",677,34,3,50,7
"Sparta Rotterdam",6806,34,1,47,8
"Heracles Almelo",671,34,-11,44,9
"FC Twente '65",666,34,-2,41,10
"Fortuna Sittard",1920,34,-8,41,11
"SC Heerenveen",673,34,-6,39,12
"PEC Zwolle",684,34,-9,38,13
"Willem II Tilburg",672,34,-28,31,14
"RKC Waalwijk",683,34,-22,30,15
"FC Emmen",1914,34,-28,30,16
"VVV Venlo",668,34,-48,23,17
"ADO Den Haag",680,34,-47,22,18
