"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Ajx","Ajax",34,79,88,1,1,34,2.59
"PSV","PSV Eindhoven",34,39,72,2,2,34,2.12
"AZA","AZ Alkmaar",34,34,71,3,3,34,2.09
"Vit","Vitesse",34,14,61,4,4,34,1.79
"Fey","Feyenoord",34,28,59,5,5,34,1.74
"Utr","Utrecht",34,11,53,6,6,34,1.56
"Gro","Groningen",34,3,50,7,7,34,1.47
"Spa","Sparta Rotterdam",34,1,47,8,8,34,1.38
"Her","Heracles Almelo",34,-11,44,9,9,34,1.29
"Twe","Twente",34,-2,41,10,10,34,1.21
"Sit","Fortuna Sittard",34,-8,41,11,11,34,1.21
"Hee","Heerenveen",34,-6,39,12,12,34,1.15
"Zwo","PEC Zwolle",34,-9,38,13,13,34,1.12
"WII","Willem II",34,-28,31,14,14,34,0.91
"RKC","RKC Waalwijk",34,-22,30,15,15,34,0.88
"Emm","Emmen",34,-28,30,16,16,34,0.88
"VVV","VVV Venlo",34,-48,23,17,17,34,0.68
"ADO","ADO Den Haag",34,-47,22,18,18,34,0.65
